priority	coverage_status	action	tool_name	evidence_kind	record_id	source_title	doi_or_pmid	source_url	fetch_status	pdf_status	text_chars	local_text_path	pdf_path	suggested_pdf_path	selected_pdf_url	primary_candidate_urls	candidate_issue	dashboard_status	notes
3	source_text_available	already_ingested	Scanpy	publication	CAND_PUB_Scanpy_7fdbdd740af7	Scirpy: a Scanpy extension for analyzing single-cell T-cell receptor-sequencing data	10.1093/bioinformatics/btaa611	https://doi.org/10.1093/bioinformatics/btaa611	pdf_text_extracted	pdf_text_extracted	11063	data/evidence_sources/text/Scanpy_CAND_PUB_Scanpy_7fdbdd740af7.txt	data/evidence_sources/pdfs/news/Scanpy_CAND_PUB_Scanpy_7fdbdd740af7.pdf	data/evidence_sources/pdfs/Scanpy_CAND_PUB_Scanpy_7fdbdd740af7.pdf	http://academic.oup.com/bioinformatics/advance-article-pdf/doi/10.1093/bioinformatics/btaa611/33620207/btaa611.pdf	http://academic.oup.com/bioinformatics/advance-article-pdf/doi/10.1093/bioinformatics/btaa611/33620207/btaa611.pdf | https://academic.oup.com/bioinformatics/article-pdf/36/18/4817/50677599/btaa611.pdf		source_text_available	A primary PDF URL was discovered, but scripted download failed; open source_url or selected_pdf_url in browser and save as suggested_pdf_path.
3	source_text_available	already_ingested	SingleR	publication	CAND_PUB_SingleR_2019_Aran	Reference-based analysis of lung single-cell sequencing reveals a transitional profibrotic macrophage	10.1038/s41590-018-0276-y	https://doi.org/10.1038/s41590-018-0276-y	pdf_text_extracted	pdf_text_extracted	83018	data/evidence_sources/text/SingleR_CAND_PUB_SingleR_2019_Aran.txt	data/evidence_sources/pdfs/news/SingleR_CAND_PUB_SingleR_2019_Aran.pdf	data/evidence_sources/pdfs/SingleR_CAND_PUB_SingleR_2019_Aran.pdf	http://www.nature.com/articles/s41590-018-0276-y.pdf	http://www.nature.com/articles/s41590-018-0276-y.pdf | https://www.nature.com/articles/s41590-018-0276-y.pdf		source_text_available	A primary PDF URL was discovered, but scripted download failed; open source_url or selected_pdf_url in browser and save as suggested_pdf_path.
3	source_text_available	already_ingested	cell2location	benchmark	HR_BMK_cell2location_spatial_deconvolution_2022	Benchmarking spatial and single-cell transcriptomics integration methods for transcript distribution prediction and cell type deconvolution	10.1038/s41592-022-01480-9	https://doi.org/10.1038/s41592-022-01480-9	pdf_text_extracted	pdf_text_extracted	95583	data/evidence_sources/text/cell2location_HR_BMK_cell2location_spatial_deconvolution_2022.txt	data/evidence_sources/pdfs/news/cell2location_HR_BMK_cell2location_spatial_deconvolution_2022.pdf	data/evidence_sources/pdfs/cell2location_HR_BMK_cell2location_spatial_deconvolution_2022.pdf	https://www.nature.com/articles/s41592-022-01480-9.pdf	https://www.nature.com/articles/s41592-022-01480-9.pdf		source_text_available	A primary PDF URL was discovered, but scripted download failed; open source_url or selected_pdf_url in browser and save as suggested_pdf_path.
3	source_text_available	already_ingested	cell2location	publication	CAND_PUB_cell2location_34b39045863f	Cell2location maps fine-grained cell types in spatial transcriptomics	10.1038/s41587-021-01139-4	https://doi.org/10.1038/s41587-021-01139-4	pdf_text_extracted	pdf_text_extracted	129479	data/evidence_sources/text/cell2location_CAND_PUB_cell2location_34b39045863f.txt	data/evidence_sources/pdfs/news/cell2location_CAND_PUB_cell2location_34b39045863f.pdf	data/evidence_sources/pdfs/cell2location_CAND_PUB_cell2location_34b39045863f.pdf	https://www.nature.com/articles/s41587-021-01139-4.pdf	https://www.nature.com/articles/s41587-021-01139-4.pdf | https://assets.researchsquare.com/files/rs-496470/v1_covered.pdf?c=1631867880		source_text_available	A primary PDF URL was discovered, but scripted download failed; open source_url or selected_pdf_url in browser and save as suggested_pdf_path.
3	source_text_available	already_ingested	scVelo	publication	CAND_PUB_scVelo_524cf1f1f80e	Generalizing RNA velocity to transient cell states through dynamical modeling	10.1038/s41587-020-0591-3	https://doi.org/10.1038/s41587-020-0591-3	pdf_text_extracted	pdf_text_extracted	79010	data/evidence_sources/text/scVelo_CAND_PUB_scVelo_524cf1f1f80e.txt	data/evidence_sources/pdfs/news/scVelo_CAND_PUB_scVelo_524cf1f1f80e.pdf	data/evidence_sources/pdfs/scVelo_CAND_PUB_scVelo_524cf1f1f80e.pdf	https://www.nature.com/articles/s41587-020-0591-3.pdf	https://www.nature.com/articles/s41587-020-0591-3.pdf		source_text_available	A primary PDF URL was discovered, but scripted download failed; open source_url or selected_pdf_url in browser and save as suggested_pdf_path.
9	source_text_available	already_ingested	CellRank	publication	CAND_PUB_CellRank_363ead324201	CellRank 2: unified fate mapping in multiview single-cell data	10.1038/s41592-024-02303-9	https://doi.org/10.1038/s41592-024-02303-9	pdf_text_extracted	pdf_text_extracted	122372	data/evidence_sources/text/CellRank_CAND_PUB_CellRank_363ead324201.txt	data/evidence_sources/pdfs/CellRank_CAND_PUB_CellRank_363ead324201.pdf	data/evidence_sources/pdfs/CellRank_CAND_PUB_CellRank_363ead324201.pdf				source_text_available	PDF already exists locally; next step is PDF text ingestion.
9	source_text_available	already_ingested	CellRank	publication	CAND_PUB_CellRank_37ae953d1d1a	CellRank for directed single-cell fate mapping	10.1038/s41592-021-01346-6	https://doi.org/10.1038/s41592-021-01346-6	pdf_text_extracted	pdf_text_extracted	173860	data/evidence_sources/text/CellRank_CAND_PUB_CellRank_37ae953d1d1a.txt	data/evidence_sources/pdfs/CellRank_CAND_PUB_CellRank_37ae953d1d1a.pdf	data/evidence_sources/pdfs/CellRank_CAND_PUB_CellRank_37ae953d1d1a.pdf				source_text_available	PDF already exists locally; next step is PDF text ingestion.
9	source_text_available	already_ingested	Harmony	benchmark	HR_BMK_Harmony_scIB_integration_2022	Benchmarking atlas-level data integration in single-cell genomics	10.1038/s41592-021-01336-8	https://doi.org/10.1038/s41592-021-01336-8	pdf_text_extracted	pdf_text_extracted	112943	data/evidence_sources/text/Harmony_HR_BMK_Harmony_scIB_integration_2022.txt	data/evidence_sources/pdfs/Harmony_HR_BMK_Harmony_scIB_integration_2022.pdf	data/evidence_sources/pdfs/Harmony_HR_BMK_Harmony_scIB_integration_2022.pdf				source_text_available	PDF already exists locally; next step is PDF text ingestion.
9	source_text_available	already_ingested	Scanpy	benchmark	HR_BMK_Scanpy_batch_correction_2020	Comparison of Scanpy-based algorithms to remove the batch effect from single-cell RNA-seq data	10.1186/s13619-020-00041-9	https://doi.org/10.1186/s13619-020-00041-9	pdf_text_extracted	pdf_text_extracted	41999	data/evidence_sources/text/Scanpy_HR_BMK_Scanpy_batch_correction_2020.txt	data/evidence_sources/pdfs/Scanpy_HR_BMK_Scanpy_batch_correction_2020.pdf	data/evidence_sources/pdfs/Scanpy_HR_BMK_Scanpy_batch_correction_2020.pdf				source_text_available	PDF already exists locally; next step is PDF text ingestion.
9	source_text_available	already_ingested	Scanpy	publication	CAND_PUB_Scanpy_4671c99f42e8	SCANPY: large-scale single-cell gene expression data analysis	10.1186/s13059-017-1382-0	https://doi.org/10.1186/s13059-017-1382-0	pdf_text_extracted	pdf_text_extracted	21489	data/evidence_sources/text/Scanpy_CAND_PUB_Scanpy_4671c99f42e8.txt	data/evidence_sources/pdfs/Scanpy_CAND_PUB_Scanpy_4671c99f42e8.pdf	data/evidence_sources/pdfs/Scanpy_CAND_PUB_Scanpy_4671c99f42e8.pdf				source_text_available	PDF already exists locally; next step is PDF text ingestion.
9	source_text_available	already_ingested	Seurat	benchmark	HR_BMK_Seurat_scIB_integration_2022	Benchmarking atlas-level data integration in single-cell genomics	10.1038/s41592-021-01336-8	https://doi.org/10.1038/s41592-021-01336-8	pdf_text_extracted	pdf_text_extracted	112943	data/evidence_sources/text/Seurat_HR_BMK_Seurat_scIB_integration_2022.txt	data/evidence_sources/pdfs/Seurat_HR_BMK_Seurat_scIB_integration_2022.pdf	data/evidence_sources/pdfs/Seurat_HR_BMK_Seurat_scIB_integration_2022.pdf				source_text_available	PDF already exists locally; next step is PDF text ingestion.
9	source_text_available	already_ingested	scvi-tools	benchmark	HR_BMK_scvi_tools_scIB_integration_2022	Benchmarking atlas-level data integration in single-cell genomics	10.1038/s41592-021-01336-8	https://doi.org/10.1038/s41592-021-01336-8	pdf_text_extracted	pdf_text_extracted	112943	data/evidence_sources/text/scvi-tools_HR_BMK_scvi_tools_scIB_integration_2022.txt	data/evidence_sources/pdfs/scvi-tools_HR_BMK_scvi_tools_scIB_integration_2022.pdf	data/evidence_sources/pdfs/scvi-tools_HR_BMK_scvi_tools_scIB_integration_2022.pdf				source_text_available	PDF already exists locally; next step is PDF text ingestion.
9	source_text_available	already_ingested	scvi-tools	publication	CAND_PUB_scvi-tools_e983ebf1014d	Scvi-hub: an actionable repository for model-driven single-cell analysis	10.1038/s41592-025-02799-9	https://doi.org/10.1038/s41592-025-02799-9	pdf_text_extracted	pdf_text_extracted	94918	data/evidence_sources/text/scvi-tools_CAND_PUB_scvi-tools_e983ebf1014d.txt	data/evidence_sources/pdfs/scvi-tools_CAND_PUB_scvi-tools_e983ebf1014d.pdf	data/evidence_sources/pdfs/scvi-tools_CAND_PUB_scvi-tools_e983ebf1014d.pdf				source_text_available	PDF already exists locally; next step is PDF text ingestion.
