priority_tier	tool_name	publication_id	work_group_id	canonical_flag	duplicate_of	title	authors	doi	publication_year	venue	paper_type	evidence_role	confidence	citations	source_url	review_action	suggested_decision	risk_notes	missing_fields	record_type	review_status	trust_level	recommended_review_status	recommended_trust_level	validation_notes	group_size	group_reason	source_type	paper_url	pmid	arxiv_id
P0	moscot	CAND_PUB_moscot_eae5e65e233f	PUBWG_CAND_PUB_moscot_eae5e65e233f	true		scDisent: disentangled representation learning with causal structure for multi-omic single-cell analysis	Guoren Xi	10.64898/2026.04.12.717909	2026		application_paper	application_evidence	0.400	0	https://doi.org/10.64898/2026.04.12.717909	review_needed:review_needed	keep_candidate	candidate_only; requires_human_review_before_formal_ingest; canonical_suggestion_not_verified; supporting_record_type:application_paper; has DOI; contains non-preprint version; canonical candidate; group_size=1; has DOI; contains non-preprint version; preprint_or_preprint_like_source; supporting_record_type:application; supporting_paper_type:application_paper; weak_title_tool_alignment		application	pending	review_needed	review_needed	review_needed	candidate_only; canonical_suggestion_not_verified; supporting_record_type:application_paper	1	has DOI; contains non-preprint version	crossref	https://doi.org/10.64898/2026.04.12.717909		
P0	moscot	CAND_PUB_moscot_cdf53fcd8ab2	PUBWG_CAND_PUB_moscot_2f5c815e18fd	false	CAND_PUB_moscot_2f5c815e18fd	Mapping cells through time and space with moscot	Dominik Klein;Giovanni Palla;Marius Lange;Michal Klein;Zoe Piran;Manuel Gander;Laetitia Meng-Papaxanthos;Michael Sterr;Aimée Bastidas-Ponce;Marta Tarquis-Medina;Heiko Lickert;Mostafa Bakhti;Mor Nitzan;Marco Cuturi;Fabian J. Theis	10.1101/2023.05.11.540374	2023		method_paper	primary_method_reference	0.850	42	https://doi.org/10.1101/2023.05.11.540374	review_needed:retrieval_only	likely_duplicate	candidate_only; requires_human_review_before_formal_ingest; duplicate_group_requires_manual_review; duplicate_suggestion_not_verified; preprint_or_preprint_like_source; distinct DOIs; title similarity max=1.00; author overlap max=1.00; contains preprint version; contains non-preprint version; duplicate candidate; group_size=2; distinct DOIs; title similarity max=1.00; author overlap max=1.00; contains preprint version; contains non-preprint version; duplicate_or_noncanonical_candidate		publication	pending	review_needed	review_needed	retrieval_only	candidate_only; duplicate_group_requires_manual_review; duplicate_suggestion_not_verified; preprint_or_preprint_like_source	2	distinct DOIs; title similarity max=1.00; author overlap max=1.00; contains preprint version; contains non-preprint version	crossref	https://doi.org/10.1101/2023.05.11.540374		
P0	nicheformer	CAND_PUB_nicheformer_a899071c948d	PUBWG_CAND_PUB_nicheformer_a899071c948d	true		Nicheformer: a foundation model for single-cell and spatial omics	Alejandro Tejada-Lapuerta;Anna C. Schaar;Robert Gutgesell;Giovanni Palla;Lennard Halle;Mariia Minaeva;Larsen Vornholz;Leander Dony;Francesca Drummer;Till Richter;Mojtaba Bahrami;Fabian J. Theis	10.1038/s41592-025-02814-z	2025	Nature Methods	method_paper	primary_method_reference	0.850	41	https://doi.org/10.1038/s41592-025-02814-z	review_needed:review_needed	priority_review	candidate_only; requires_human_review_before_formal_ingest; canonical_suggestion_not_verified; has DOI; contains non-preprint version; canonical candidate; group_size=1; has DOI; contains non-preprint version		publication	pending	review_needed	review_needed	review_needed	candidate_only; canonical_suggestion_not_verified	1	has DOI; contains non-preprint version	crossref	https://doi.org/10.1038/s41592-025-02814-z		
P0	nicheformer	CAND_PUB_nicheformer_a01b6480d42a	PUBWG_CAND_PUB_nicheformer_a01b6480d42a	true		Nicheformer: A Foundation Model for Single-Cell and Spatial Omics	Anna C. Schaar;Alejandro Tejada-Lapuerta;Giovanni Palla;Robert Gutgesell;Lennard Halle;Mariia Minaeva;Larsen Vornholz;Leander Dony;Francesca Drummer;Mojtaba Bahrami;Fabian J. Theis	10.2139/ssrn.4803291	2024		method_paper	primary_method_reference	0.850	23	https://doi.org/10.2139/ssrn.4803291	review_needed:review_needed	priority_review	candidate_only; requires_human_review_before_formal_ingest; canonical_suggestion_not_verified; has DOI; contains non-preprint version; canonical candidate; group_size=1; has DOI; contains non-preprint version		publication	pending	review_needed	review_needed	review_needed	candidate_only; canonical_suggestion_not_verified	1	has DOI; contains non-preprint version	crossref	https://doi.org/10.2139/ssrn.4803291		
P0	nicheformer	CAND_PUB_nicheformer_2d05378381f4	PUBWG_CAND_PUB_nicheformer_2d05378381f4	true		Nicheformer: a foundation model for single-cell and spatial omics	Anna Christina Schaar;Alejandro Tejada-Lapuerta;Giovanni Palla;Robert Gutgesell;Lennard Halle;Mariia Minaeva;Larsen Vornholz;Leander Dony;Francesca Drummer;Mojtaba Bahrami;Fabian J Theis	10.1101/2024.04.15.589472	2024		method_paper	primary_method_reference	0.850	31	https://doi.org/10.1101/2024.04.15.589472	review_needed:review_needed	keep_candidate	candidate_only; requires_human_review_before_formal_ingest; canonical_suggestion_not_verified; preprint_or_preprint_like_source; has DOI; contains preprint version; canonical candidate; group_size=1; has DOI; contains preprint version		publication	pending	review_needed	review_needed	review_needed	candidate_only; canonical_suggestion_not_verified; preprint_or_preprint_like_source	1	has DOI; contains preprint version	crossref	https://doi.org/10.1101/2024.04.15.589472		
P0	MAESTRO	CAND_PUB_MAESTRO_aad5c38bcb9d	PUBWG_CAND_PUB_MAESTRO_aad5c38bcb9d	true		Faculty Opinions recommendation of Integrative analyses of single-cell transcriptome and regulome using MAESTRO.	Patricia Elizalde	10.3410/f.738449364.793579798	2020	Faculty Opinions – Post-Publication Peer Review of the Biomedical Literature	method_paper	primary_method_reference	0.850	0	https://doi.org/10.3410/f.738449364.793579798	review_needed:review_needed	needs_manual_lookup	candidate_only; requires_human_review_before_formal_ingest; canonical_suggestion_not_verified; has DOI; contains non-preprint version; canonical candidate; group_size=1; has DOI; contains non-preprint version; secondary_or_abstract_shell_not_primary_publication		publication	pending	review_needed	review_needed	review_needed	candidate_only; canonical_suggestion_not_verified	1	has DOI; contains non-preprint version	crossref	https://doi.org/10.3410/f.738449364.793579798		
P0	MIMOSCA	CAND_PUB_MIMOSCA_7882e7558c0e	PUBWG_CAND_PUB_MIMOSCA_7882e7558c0e	true		Perturb-Seq: Dissecting Molecular Circuits with Scalable Single-Cell RNA Profiling of Pooled Genetic Screens	Aviv Dixit;Ofir Parnas;Bobby Li;Jenny Chen;Charles P. Fulco;Livnat Jerby-Arnon;Nemanja D. Marjanovic;David Dionne;Tamar Burks;Raktima Raychowdhury;Britt Adamson;Thomas M. Norman;Eric S. Lander;Jonathan S. Weissman;Nir Friedman;Aviv Regev	10.1016/j.cell.2016.11.038	2016	Cell	method_paper	primary_method_reference	0.750		https://doi.org/10.1016/j.cell.2016.11.038	manual_review	keep_candidate	candidate_only; requires_human_review_before_formal_ingest; manual seed from official MIMOSCA repository paper link; DOI checked; contains non-preprint version; title does not contain tool name; requires human confirmation before formalize; weak_title_tool_alignment		publication	pending	review_needed				1	manual seed from official MIMOSCA repository paper link; DOI checked; contains non-preprint version; title does not contain tool name; requires human confirmation before formalize	manual	https://doi.org/10.1016/j.cell.2016.11.038		
P1	MOFA	CAND_PUB_MOFA_aa1b75ff2c06	PUBWG_CAND_PUB_MOFA_aa1b75ff2c06	true		MOFA+: a statistical framework for comprehensive integration of multi-modal single-cell data	Ricard Argelaguet;Damien Arnol;Danila Bredikhin;Yonatan Deloro;Britta Velten;John C. Marioni;Oliver Stegle	10.1186/s13059-020-02015-1	2020	Genome Biology	method_paper	primary_method_reference	0.850	857	https://doi.org/10.1186/s13059-020-02015-1	review_needed:review_needed	priority_review	candidate_only; requires_human_review_before_formal_ingest; canonical_suggestion_not_verified; has DOI; contains non-preprint version; canonical candidate; group_size=1; has DOI; contains non-preprint version; generic_or_common_tool_name_requires_disambiguation		publication	pending	review_needed	review_needed	review_needed	candidate_only; canonical_suggestion_not_verified	1	has DOI; contains non-preprint version	crossref	https://doi.org/10.1186/s13059-020-02015-1		
P1	MOFA	CAND_PUB_MOFA_b19425a116c6	PUBWG_CAND_PUB_MOFA_b19425a116c6	true		Multi-Omics factor analysis - a framework for unsupervised integration of multi-omic data sets	Ricard Argelaguet;Britta Velten;Damien Arnol;Sascha Dietrich;Thorsten Zenz;John C. Marioni;Wolfgang Huber;Florian Buettner;Oliver Stegle	10.1101/217554	2017		application_paper	application_evidence	0.650	14	https://doi.org/10.1101/217554	review_needed:review_needed	keep_candidate	candidate_only; requires_human_review_before_formal_ingest; canonical_suggestion_not_verified; preprint_or_preprint_like_source; supporting_record_type:application_paper; has DOI; contains preprint version; canonical candidate; group_size=1; has DOI; contains preprint version; supporting_record_type:application; supporting_paper_type:application_paper; weak_title_tool_alignment; generic_or_common_tool_name_requires_disambiguation		application	pending	review_needed	review_needed	review_needed	candidate_only; canonical_suggestion_not_verified; preprint_or_preprint_like_source; supporting_record_type:application_paper	1	has DOI; contains preprint version	crossref	https://doi.org/10.1101/217554		
P1	MOFA	CAND_PUB_MOFA_b4282568b081	PUBWG_CAND_PUB_MOFA_b4282568b081	true		MOFA+: a probabilistic framework for comprehensive integration of structured single-cell data	Ricard Argelaguet;Damien Arnol;Danila Bredikhin;Yonatan Deloro;Britta Velten;John C Marioni;Oliver Stegle	10.1101/837104	2019		method_paper	primary_method_reference	0.850	13	https://doi.org/10.1101/837104	review_needed:review_needed	keep_candidate	candidate_only; requires_human_review_before_formal_ingest; canonical_suggestion_not_verified; preprint_or_preprint_like_source; has DOI; contains preprint version; canonical candidate; group_size=1; has DOI; contains preprint version; generic_or_common_tool_name_requires_disambiguation		publication	pending	review_needed	review_needed	review_needed	candidate_only; canonical_suggestion_not_verified; preprint_or_preprint_like_source	1	has DOI; contains preprint version	crossref	https://doi.org/10.1101/837104		
P1	MOFA	CAND_PUB_MOFA_3041b220223a	PUBWG_CAND_PUB_MOFA_3041b220223a	true		MOFA-FLEX: A Factor Model Framework for Integrating Omics Data with Prior Knowledge	Arber Qoku;Martin Rohbeck;Florin C. Walter;Ilia Kats;Oliver Stegle;Florian Buettner	10.1101/2025.11.03.686250	2025		method_paper	primary_method_reference	0.850	4	https://doi.org/10.1101/2025.11.03.686250	review_needed:review_needed	keep_candidate	candidate_only; requires_human_review_before_formal_ingest; canonical_suggestion_not_verified; preprint_or_preprint_like_source; has DOI; contains preprint version; canonical candidate; group_size=1; has DOI; contains preprint version; generic_or_common_tool_name_requires_disambiguation		publication	pending	review_needed	review_needed	review_needed	candidate_only; canonical_suggestion_not_verified; preprint_or_preprint_like_source	1	has DOI; contains preprint version	crossref	https://doi.org/10.1101/2025.11.03.686250		
P1	MOFA	CAND_PUB_MOFA_0f26e2a99240	PUBWG_CAND_PUB_MOFA_0f26e2a99240	true		Comprehensive Analysis of Multi-Omics Vaccine Response Data Using MOFA and Stabl Algorithms	Aanya Gupta;Koji Abe;Holden T. Maecker	10.1101/2025.09.30.679306	2025		method_paper	primary_method_reference	0.850	0	https://doi.org/10.1101/2025.09.30.679306	review_needed:review_needed	keep_candidate	candidate_only; requires_human_review_before_formal_ingest; canonical_suggestion_not_verified; preprint_or_preprint_like_source; has DOI; contains preprint version; canonical candidate; group_size=1; has DOI; contains preprint version; generic_or_common_tool_name_requires_disambiguation		publication	pending	review_needed	review_needed	review_needed	candidate_only; canonical_suggestion_not_verified; preprint_or_preprint_like_source	1	has DOI; contains preprint version	crossref	https://doi.org/10.1101/2025.09.30.679306		
P1	MOFA	CAND_PUB_MOFA_93919f506bc3	PUBWG_CAND_PUB_MOFA_93919f506bc3	true		MOFA GAT A NOVEL DEEP LEARNING FRAMEWORK FOR MULTI OMICS INTEGRATION AND DRUG METABOLITE PATHWAY PREDICTION	Dr. A V L N Sujith	10.53555/jab.v11i3.289	2025	Journal of Applied Bioanalysis	method_paper	primary_method_reference	0.700	0	https://doi.org/10.53555/jab.v11i3.289	review_needed:review_needed	keep_candidate	candidate_only; requires_human_review_before_formal_ingest; canonical_suggestion_not_verified; has DOI; contains non-preprint version; canonical candidate; group_size=1; has DOI; contains non-preprint version; generic_or_common_tool_name_requires_disambiguation		publication	pending	review_needed	review_needed	review_needed	candidate_only; canonical_suggestion_not_verified	1	has DOI; contains non-preprint version	crossref	https://doi.org/10.53555/jab.v11i3.289		
P1	MOFA2	CAND_PUB_MOFA2_aa1b75ff2c06	PUBWG_CAND_PUB_MOFA2_aa1b75ff2c06	true		MOFA+: a statistical framework for comprehensive integration of multi-modal single-cell data	Ricard Argelaguet;Damien Arnol;Danila Bredikhin;Yonatan Deloro;Britta Velten;John C. Marioni;Oliver Stegle	10.1186/s13059-020-02015-1	2020	Genome Biology	application_paper	application_evidence	0.650	857	https://doi.org/10.1186/s13059-020-02015-1	review_needed:review_needed	keep_candidate	candidate_only; requires_human_review_before_formal_ingest; canonical_suggestion_not_verified; supporting_record_type:application_paper; has DOI; contains non-preprint version; canonical candidate; group_size=1; has DOI; contains non-preprint version; supporting_record_type:application; supporting_paper_type:application_paper		application	pending	review_needed	review_needed	review_needed	candidate_only; canonical_suggestion_not_verified; supporting_record_type:application_paper	1	has DOI; contains non-preprint version	crossref	https://doi.org/10.1186/s13059-020-02015-1		
P1	MOFA2	CAND_PUB_MOFA2_b4282568b081	PUBWG_CAND_PUB_MOFA2_b4282568b081	true		MOFA+: a probabilistic framework for comprehensive integration of structured single-cell data	Ricard Argelaguet;Damien Arnol;Danila Bredikhin;Yonatan Deloro;Britta Velten;John C Marioni;Oliver Stegle	10.1101/837104	2019		application_paper	application_evidence	0.650	13	https://doi.org/10.1101/837104	review_needed:review_needed	keep_candidate	candidate_only; requires_human_review_before_formal_ingest; canonical_suggestion_not_verified; preprint_or_preprint_like_source; supporting_record_type:application_paper; has DOI; contains preprint version; canonical candidate; group_size=1; has DOI; contains preprint version; supporting_record_type:application; supporting_paper_type:application_paper		application	pending	review_needed	review_needed	review_needed	candidate_only; canonical_suggestion_not_verified; preprint_or_preprint_like_source; supporting_record_type:application_paper	1	has DOI; contains preprint version	crossref	https://doi.org/10.1101/837104		
P1	cell2location	CAND_PUB_cell2location_34b39045863f	PUBWG_CAND_PUB_cell2location_34b39045863f	true		Cell2location maps fine-grained cell types in spatial transcriptomics	Vitalii Kleshchevnikov;Artem Shmatko;Emma Dann;Alexander Aivazidis;Hamish W. King;Tong Li;Rasa Elmentaite;Artem Lomakin;Veronika Kedlian;Adam Gayoso;Mika Sarkin Jain;Jun Sung Park;Lauma Ramona;Elizabeth Tuck;Anna Arutyunyan;Roser Vento-Tormo;Moritz Gerstung;Louisa James;Oliver Stegle;Omer Ali Bayraktar	10.1038/s41587-021-01139-4	2022	Nature Biotechnology	method_paper	primary_method_reference	0.850	1119	https://doi.org/10.1038/s41587-021-01139-4	review_needed:review_needed	priority_review	candidate_only; requires_human_review_before_formal_ingest; canonical_suggestion_not_verified; has DOI; contains non-preprint version; canonical candidate; group_size=1; has DOI; contains non-preprint version		publication	pending	review_needed	review_needed	review_needed	candidate_only; canonical_suggestion_not_verified	1	has DOI; contains non-preprint version	crossref	https://doi.org/10.1038/s41587-021-01139-4		
P1	scIB	CAND_PUB_scIB_02fe7fd09f0d	PUBWG_CAND_PUB_scIB_02fe7fd09f0d	true		Benchmarking atlas-level data integration in single-cell genomics	Malte D. Luecken;M. Buttner;K. Chaichoompu;A. Danese;M. Interlandi;M. F. Mueller;D. C. Strobl;L. Zappia;M. Dugas;M. Colome-Tatche;F. J. Theis	10.1038/s41592-021-01336-8	2022	Nature Methods	method_paper	primary_method_reference	0.850		https://doi.org/10.1038/s41592-021-01336-8	manual_review	priority_review	candidate_only; requires_human_review_before_formal_ingest; manual authoritative seed; DOI checked; contains non-preprint version; benchmark framework primary paper; benchmark metrics still require separate benchmark evidence extraction; weak_title_tool_alignment		publication	pending	review_needed				1	manual authoritative seed; DOI checked; contains non-preprint version; benchmark framework primary paper; benchmark metrics still require separate benchmark evidence extraction	manual	https://doi.org/10.1038/s41592-021-01336-8		
P1	SingleR	CAND_PUB_SingleR_8c7c430a52b8	PUBWG_CAND_PUB_SingleR_8c7c430a52b8	true		Abstract LB240: Cell type annotation using singleR with custom reference for single-nucleus multiome data derived from frozen human breast tumors	Huaitian Liu;Alexandra Harris;Brittany Jenkins-Lord;Tiffany H. Dorsey;Francis Makokha;Shahin Sayed;Gretchen Gierach;Stefan Ambs	10.1158/1538-7445.am2024-lb240	2024	Cancer Research	method_paper	primary_method_reference	0.850	0	https://doi.org/10.1158/1538-7445.am2024-lb240	review_needed:review_needed	needs_manual_lookup	candidate_only; requires_human_review_before_formal_ingest; canonical_suggestion_not_verified; has DOI; contains non-preprint version; canonical candidate; group_size=1; has DOI; contains non-preprint version; secondary_or_abstract_shell_not_primary_publication; generic_or_common_tool_name_requires_disambiguation		publication	pending	review_needed	review_needed	review_needed	candidate_only; canonical_suggestion_not_verified	1	has DOI; contains non-preprint version	crossref	https://doi.org/10.1158/1538-7445.am2024-lb240		
