tool_name	algorithm_family	model_assumption	distance_metric	optimization_objective	input_object	output_object	supported_task	supported_modality	transferable_mechanism	known_limitations	review_status	reviewer_notes
Scanpy	graph-based single-cell analysis toolkit	neighborhood graphs capture local cellular manifold structure for standard single-cell workflows	kNN graph distances; PCA and UMAP metrics	build scalable preprocessing, graph, clustering, and analysis workflows	AnnData	count matrices; neighbors; embeddings; clusters	QC; Clustering; Data Integration	scRNA-seq	AnnData-centered graph construction and workflow patterns can transfer to new single-cell pipeline designs.	Toolkit, not a single algorithm; benchmark claims must be task-specific and cannot generalize across all Scanpy functions.	profile_validated	Human reviewed: boundary tightened to workflow/toolkit mechanism, not one canonical algorithm.
Seurat	anchor-based integration and multimodal workflow	shared biological states can be linked by anchors across batches or modalities	CCA/RPCA/WNN neighborhood similarity	find anchors, weighted nearest neighbors, and integrated representations	SeuratObject; multimodal single-cell objects	integrated embeddings; labels; multimodal neighbors	Data Integration; Multiome Integration	scRNA-seq; scRNA-seq+scATAC-seq	Anchor and WNN ideas can transfer to cross-modal or multi-view matching hypotheses.	Version and workflow specific; claims must specify Seurat version and task, and cannot be treated as a single fixed algorithm.	profile_validated	Human reviewed: I/O contract locked to SeuratObject and multimodal workflow patterns.
scGPT	transformer foundation model	self-supervised Transformer attention can capture gene-expression context and cell representations	attention similarity; embedding distance; masked expression reconstruction loss	pretrain gene/cell representations with masked modeling and contrastive objectives	gene expression matrix or tokenized cell representation	cell embeddings; gene embeddings; prediction outputs	Foundation Model Representation	scRNA-seq	Foundation embeddings can seed exploratory transfer for representation, annotation, or perturbation-response hypotheses.	Third-party downstream biological evaluation is still early; embeddings cannot directly establish causal regulatory networks.	profile_validated	Human reviewed: feature extraction only for migration; block direct causal GRN claims.
CellPLM	cell language model / foundation model	pretrained cellular representations may transfer across single-cell tasks	embedding similarity; attention patterns	pretrain or fine-tune cellular representation models	expression matrix	cell embeddings; task-specific predictions	Foundation Model Representation	scRNA-seq	Pretrained cell embeddings may transfer to rare tasks where direct supervised tools are absent.	Independent third-party benchmarks are limited; migration claims must remain exploratory.	profile_validated	Human reviewed: accepted as foundation representation profile with benchmark caveat.
nicheformer	spatial transformer / niche-aware foundation model	cell representations are modulated by local spatial microenvironment or niche context	embedding similarity; transformer attention over expression and context	learn context-aware cellular embeddings with autoregressive or contrastive objectives	single-cell or spatial expression with context features	context-aware embeddings; downstream predictions	Foundation Model Representation	scRNA-seq; Spatial Transcriptomics	Niche-aware embeddings may inspire exploratory microenvironment or spatial-context modeling.	Must never replace dedicated spatial deconvolution tools such as cell2location without task-specific evidence.	profile_validated	Human reviewed: boundary tightened to exploratory niche representation, not deconvolution.
DoubletFinder	artificial-neighbor doublet detection	doublets resemble artificial merged profiles in expression neighborhood space	pANN; nearest-neighbor proportion	classify cells by artificial doublet neighborhood enrichment	SeuratObject or expression matrix	doublet scores; doublet calls	Doublet Detection	scRNA-seq	Artificial example generation can transfer to anomaly detection tasks with synthetic controls.	Tuned for scRNA-seq doublets; not a generic contamination or artifact detector without a new simulator.	profile_validated	Human reviewed: I/O contract and synthetic-positive mechanism validated.
Scrublet	simulated doublet classifier	observed doublets are close to simulated transcriptomic doublets in kNN space	kNN similarity to simulated doublets	score cells by simulated-doublet neighborhood enrichment	count matrix	doublet scores; predicted doublets	Doublet Detection	scRNA-seq	Simulation-based anomaly scoring can inspire exploratory QC migration for sparse artifact classes.	Requires task-specific synthetic positive generator and threshold validation; not designed for ambient RNA removal.	profile_validated	Human reviewed: accepted as transferable simulation/anomaly mechanism with simulator caveat.
SoupX	ambient RNA contamination model	empty-droplet or background profiles approximate additive ambient contamination	marker and background contamination estimates	estimate and subtract ambient RNA fraction from droplet counts	droplet count matrix with clusters and background profile	decontaminated count matrix	Ambient RNA Removal	scRNA-seq	Background-profile subtraction can transfer to spatial or non-droplet contamination-removal hypotheses.	Requires meaningful background profile and marker preservation checks; spatial use needs background-spot reinterpretation.	profile_validated	Human reviewed: accepted as contamination-modeling profile, not generic QC.
CellTypist	supervised cell type classifier	reference-trained classifiers generalize to query datasets with similar cell-type coverage	logistic regression confidence or probability scores	assign cell types from curated reference models	expression matrix	cell type labels; confidence scores	Cell Type Annotation	scRNA-seq	Supervised reference-label transfer can seed annotation hypotheses for related tissues.	Performance depends on reference coverage, label granularity, and domain shift.	profile_validated	Human reviewed: I/O contract locked to expression matrix and curated reference models.
SingleR	reference correlation annotation	cell labels can be assigned by correlation to reference expression profiles	Spearman or correlation similarity	match query cells to reference cell-type profiles	expression matrix plus reference profiles	cell type labels; pruned labels	Cell Type Annotation	scRNA-seq	Reference correlation scoring can transfer to conservative annotation tasks with strong reference atlases.	Reference quality and label hierarchy dominate performance; weak for unseen cell states.	profile_validated	Human reviewed: I/O and reference-dependence validated.
