priority	evidence_kind	tool_name	record_id	source_title	source_url	doi_or_pmid	task	modality	current_audit_labels	current_recommended_action	recovery_goal	required_review_fields	suggested_source_lookup	decision	reviewed_by	review_time	reviewer_notes	source_section	source_figure_or_table	source_span	claim_text	verified_task	verified_modality	canonical_scope	authority_tier	recommendation_eligible	metric	rank	score	normalized_score	rank_scope	n_tools_compared	caveat_type	promotion_ready
4	benchmark	scvi-tools	HR_BMK_scvi_tools_scIB_integration_2022	Benchmarking atlas-level data integration in single-cell genomics	https://doi.org/10.1038/s41592-021-01336-8	10.1038/s41592-021-01336-8	Data Integration	scRNA-seq;scATAC-seq	qualitative_only	downgrade_to_retrieval_until_numeric_source_verified	Recover numeric/source-bound benchmark evidence, or keep as caveat/retrieval only.	decision;reviewed_by;source_span;metric;rank_or_score_or_normalized_score;rank_scope_or_n_tools_compared;verified_task;verified_modality;caveat_type	https://doi.org/10.1038/s41592-021-01336-8	needs_manual_review							scVI and scANVI variants are top-tier methods for balancing batch correction and biological conservation in the scIB benchmark.	Data Integration	scRNA-seq;scATAC-seq				Batch correction and biological conservation metrics				scIB atlas-level integration benchmark	68		false
5	publication	CellTypist	CAND_PUB_CellTypist_0ab6945053d3	Cross-tissue immune cell analysis reveals tissue-specific features in humans	https://doi.org/10.1126/science.abl5197	10.1126/science.abl5197	Cell Type Annotation	scRNA-seq	source_bound;title_only_claim_span;reviewer_identity_unclear	add_source_span_or_claim_text_before_recommendation	Verify this is a canonical method paper and add a source span beyond the title.	decision;reviewed_by;source_span;claim_text;verified_task;verified_modality;canonical_scope;authority_tier;recommendation_eligible	https://doi.org/10.1126/science.abl5197	needs_manual_review								Cell Type Annotation	scRNA-seq	core_tool	canonical_primary	true								false
5	benchmark	CellTypist	HR_BMK_CellTypist_annotation_2023	A comprehensive benchmarking of cell type annotation methods for single-cell RNA sequencing	https://doi.org/10.1093/bib/bbad418	10.1093/bib/bbad418	Cell Type Annotation	scRNA-seq	qualitative_only	downgrade_to_retrieval_until_numeric_source_verified	Recover numeric/source-bound benchmark evidence, or keep as caveat/retrieval only.	decision;reviewed_by;source_span;metric;rank_or_score_or_normalized_score;rank_scope_or_n_tools_compared;verified_task;verified_modality;caveat_type	https://doi.org/10.1093/bib/bbad418	needs_manual_review							Consistently ranks among top supervised classification tools.	Cell Type Annotation	scRNA-seq				Accuracy and F1-score				Cell type annotation method benchmark	10+		false
6	publication	SingleR	CAND_PUB_SingleR_2019_Aran	Reference-based analysis of lung single-cell sequencing reveals a transitional profibrotic macrophage	https://doi.org/10.1038/s41590-018-0276-y	10.1038/s41590-018-0276-y	Cell Type Annotation	scRNA-seq	source_bound;title_only_claim_span;reviewer_identity_unclear	add_source_span_or_claim_text_before_recommendation	Verify this is a canonical method paper and add a source span beyond the title.	decision;reviewed_by;source_span;claim_text;verified_task;verified_modality;canonical_scope;authority_tier;recommendation_eligible	https://doi.org/10.1038/s41590-018-0276-y	needs_manual_review								Cell Type Annotation	scRNA-seq	core_tool	canonical_primary	true								false
6	benchmark	SingleR	HR_BMK_SingleR_annotation_2023	A comprehensive benchmarking of cell type annotation methods for single-cell RNA sequencing	https://doi.org/10.1093/bib/bbad418	10.1093/bib/bbad418	Cell Type Annotation	scRNA-seq	qualitative_only	downgrade_to_retrieval_until_numeric_source_verified	Recover numeric/source-bound benchmark evidence, or keep as caveat/retrieval only.	decision;reviewed_by;source_span;metric;rank_or_score_or_normalized_score;rank_scope_or_n_tools_compared;verified_task;verified_modality;caveat_type	https://doi.org/10.1093/bib/bbad418	needs_manual_review							SingleR remains among high-performing supervised annotation methods, including top-tier F1-score and accuracy across multiple benchmark settings.	Cell Type Annotation	scRNA-seq				Accuracy and F1-score				Cell type annotation method benchmark	10+		false
7	publication	cell2location	CAND_PUB_cell2location_34b39045863f	Cell2location maps fine-grained cell types in spatial transcriptomics	https://doi.org/10.1038/s41587-021-01139-4	10.1038/s41587-021-01139-4	Cell Type Annotation;Spatial Mapping	spatial	source_bound;title_only_claim_span;reviewer_identity_unclear;candidate_search_needs_manual_anchor_check;citation_supported	add_source_span_or_claim_text_before_recommendation	Verify this is a canonical method paper and add a source span beyond the title.	decision;reviewed_by;source_span;claim_text;verified_task;verified_modality;canonical_scope;authority_tier;recommendation_eligible	https://doi.org/10.1038/s41587-021-01139-4	needs_manual_review								Cell Type Annotation;Spatial Mapping	spatial	core_tool	canonical_primary	true								false
7	benchmark	cell2location	HR_BMK_cell2location_spatial_deconvolution_2022	Benchmarking spatial and single-cell transcriptomics integration methods for transcript distribution prediction and cell type deconvolution	https://doi.org/10.1038/s41592-022-01480-9	10.1038/s41592-022-01480-9	Spatial Deconvolution	Spatial Transcriptomics	qualitative_only;negative_control_caveat	keep_retrieval_caveat_only	Recover numeric/source-bound benchmark evidence, or keep as caveat/retrieval only.	decision;reviewed_by;source_span;metric;rank_or_score_or_normalized_score;rank_scope_or_n_tools_compared;verified_task;verified_modality;caveat_type	https://doi.org/10.1038/s41592-022-01480-9	needs_manual_review							cell2location is supported as among the top-performing methods for cell type deconvolution of spots, alongside SpatialDWLS and RCTD; do not claim unique best.	Spatial Deconvolution	Spatial Transcriptomics				Cell type deconvolution of spots				Spot cell type deconvolution benchmark	16	caveat	false
8	publication	scVelo	CAND_PUB_scVelo_524cf1f1f80e	Generalizing RNA velocity to transient cell states through dynamical modeling	https://doi.org/10.1038/s41587-020-0591-3	10.1038/s41587-020-0591-3	RNA Velocity;Trajectory Inference	scRNA-seq	source_bound;title_only_claim_span;reviewer_identity_unclear	add_source_span_or_claim_text_before_recommendation	Verify this is a canonical method paper and add a source span beyond the title.	decision;reviewed_by;source_span;claim_text;verified_task;verified_modality;canonical_scope;authority_tier;recommendation_eligible	https://doi.org/10.1038/s41587-020-0591-3	needs_manual_review								RNA Velocity;Trajectory Inference	scRNA-seq	core_tool	canonical_primary	true								false
8	benchmark	scVelo	HR_BMK_scVelo_velocity_unraveled_2022	RNA velocity unraveled	https://doi.org/10.1371/journal.pcbi.1010492	10.1371/journal.pcbi.1010492	RNA Velocity	scRNA-seq	qualitative_only;negative_control_caveat	keep_retrieval_caveat_only	Recover numeric/source-bound benchmark evidence, or keep as caveat/retrieval only.	decision;reviewed_by;source_span;metric;rank_or_score_or_normalized_score;rank_scope_or_n_tools_compared;verified_task;verified_modality;caveat_type	https://doi.org/10.1371/journal.pcbi.1010492	needs_manual_review							scVelo remains the canonical dynamic-model RNA velocity tool, but this critique shows that its outputs can fail or even reverse known trajectories under some conditions. Recommendation reports must include caveats about sensitivity to k-nearest-neighbor smoothing, embedding choices, and transcription/splicing/degradation model assumptions.	RNA Velocity	scRNA-seq				Cross-boundary direction correctness; phase portrait distortion; k-nearest-neighbor smoothing sensitivity				RNA velocity theoretical/empirical critique; caveat evidence	2	caveat	false
9	publication	CellRank	CAND_PUB_CellRank_363ead324201	CellRank 2: unified fate mapping in multiview single-cell data	https://doi.org/10.1038/s41592-024-02303-9	10.1038/s41592-024-02303-9	Spatial Mapping		source_bound;title_only_claim_span;missing_modality;reviewer_identity_unclear;candidate_search_needs_manual_anchor_check;citation_supported	add_source_span_or_claim_text_before_recommendation	Verify this is a canonical method paper and add a source span beyond the title.	decision;reviewed_by;source_span;claim_text;verified_task;verified_modality;canonical_scope;authority_tier;recommendation_eligible	https://doi.org/10.1038/s41592-024-02303-9	needs_manual_review								Spatial Mapping		major_version	canonical_secondary	true								false
9	publication	CellRank	CAND_PUB_CellRank_37ae953d1d1a	CellRank for directed single-cell fate mapping	https://doi.org/10.1038/s41592-021-01346-6	10.1038/s41592-021-01346-6	Spatial Mapping		source_bound;title_only_claim_span;missing_modality;reviewer_identity_unclear;candidate_search_needs_manual_anchor_check;citation_supported	add_source_span_or_claim_text_before_recommendation	Verify this is a canonical method paper and add a source span beyond the title.	decision;reviewed_by;source_span;claim_text;verified_task;verified_modality;canonical_scope;authority_tier;recommendation_eligible	https://doi.org/10.1038/s41592-021-01346-6	needs_manual_review								Spatial Mapping		core_tool	canonical_primary	true								false
10	publication	Scrublet	CAND_PUB_Scrublet_137a56b00546	Scrublet: Computational Identification of Cell Doublets in Single-Cell Transcriptomic Data	https://doi.org/10.1016/j.cels.2018.11.005	10.1016/j.cels.2018.11.005	QC	scRNA-seq	source_bound;title_only_claim_span;reviewer_identity_unclear;candidate_search_needs_manual_anchor_check;citation_supported	add_source_span_or_claim_text_before_recommendation	Verify this is a canonical method paper and add a source span beyond the title.	decision;reviewed_by;source_span;claim_text;verified_task;verified_modality;canonical_scope;authority_tier;recommendation_eligible	https://doi.org/10.1016/j.cels.2018.11.005	needs_manual_review								QC	scRNA-seq	core_tool	canonical_primary	true								false
10	benchmark	Scrublet	HR_BMK_Scrublet_doublet_detection_2020	Benchmarking Computational Doublet-Detection Methods for Single-Cell RNA Sequencing Data	https://doi.org/10.1016/j.cels.2020.11.008	10.1016/j.cels.2020.11.008	Doublet Detection	scRNA-seq	qualitative_only	downgrade_to_retrieval_until_numeric_source_verified	Recover numeric/source-bound benchmark evidence, or keep as caveat/retrieval only.	decision;reviewed_by;source_span;metric;rank_or_score_or_normalized_score;rank_scope_or_n_tools_compared;verified_task;verified_modality;caveat_type	https://doi.org/10.1016/j.cels.2020.11.008	needs_manual_review							Highly competitive accuracy with extremely fast execution times.	Doublet Detection	scRNA-seq				Area Under the Precision-Recall Curve (AUPRC)				Overall doublet-detection benchmark	9		false
