item_type,item_id,module,definition,design1_status,proposed_5c_status,reason,competency_questions,human_decision,human_notes
OBJECT_TYPE,RepresentationType,scKG-representation,"Reusable scientific data semantics: axes, observation unit, feature namespace, value and transformation states; no concrete cell or feature identities.",PROPOSED_V2,CORE_OBJECT_TYPE,Independent referent needed by the listed scientific use cases; lifecycle and relationships cannot be represented by a scalar alone.,CQ-C01;CQ-C02,,
OBJECT_TYPE,RepresentationConstraint,scKG-representation,"Independently referenced semantic conditions on a RepresentationType, including typed value bounds and alignment requirements.",PROPOSED_V2,CORE_OBJECT_TYPE,Independent referent needed by the listed scientific use cases; lifecycle and relationships cannot be represented by a scalar alone.,CQ-D01,,
OBJECT_TYPE,ApplicabilityScope,scKG-statement,Independently identified reusable or governed context; each referenced scope record is immutable and changes receive a new identifier.,PROPOSED_V2,CORE_OBJECT_TYPE,Independent referent needed by the listed scientific use cases; lifecycle and relationships cannot be represented by a scalar alone.,CQ-D04,,
OBJECT_TYPE,InputPort,scKG-representation,Independently referenced input role owned by one OperatorRevision; its Requirement objects express admissibility and strength.,PROPOSED_V2,CORE_OBJECT_TYPE,Independent referent needed by the listed scientific use cases; lifecycle and relationships cannot be represented by a scalar alone.,CQ-C01,,
OBJECT_TYPE,OutputPort,scKG-representation,"Independently referenced output role owned by one OperatorRevision, with declared representation type, conditions and input-role lineage.",PROPOSED_V2,CORE_OBJECT_TYPE,Independent referent needed by the listed scientific use cases; lifecycle and relationships cannot be represented by a scalar alone.,CQ-C02;CQ-C03,,
OBJECT_TYPE,Requirement,scKG-representation,Independently referenced strength and orthogonal activation condition over representation constraints and/or pinned reference revisions.,PROPOSED_V2,CORE_OBJECT_TYPE,Independent referent needed by the listed scientific use cases; lifecycle and relationships cannot be represented by a scalar alone.,CQ-D01,,
OBJECT_TYPE,AtomicClaimRevision,compatibility,The v1 versioned scientific assertion record.,PROPOSED_V2,MERGE,"V1 compatibility surface only; conceptual mapping, no second assertion model or adapter.",CQ-E01,,
OBJECT_TYPE,EvidenceAssessment,scKG-evidence,"Reified evaluation of one EvidenceSpan against one StatementRevision, retaining support type, alignment, method and assessor provenance.",PROPOSED_V2,CORE_OBJECT_TYPE,Independent referent needed by the listed scientific use cases; lifecycle and relationships cannot be represented by a scalar alone.,CQ-F03;CQ-F04,,
OBJECT_TYPE,EvidenceSpan,scKG-evidence,"Immutable exact excerpt bound to one SourceRevision and one SourceArtifact, with a resolvable locator and exact-text digest only.",PROPOSED_V2,CORE_OBJECT_TYPE,Independent referent needed by the listed scientific use cases; lifecycle and relationships cannot be represented by a scalar alone.,CQ-F01;CQ-F05,,
OBJECT_TYPE,EvidenceGap,scKG-evidence,"Identified missing or unresolved evidence for an entity or assertion, with its impact; it is neither negative evidence nor execution authorization.",PROPOSED_V2,CORE_OBJECT_TYPE,Independent referent needed by the listed scientific use cases; lifecycle and relationships cannot be represented by a scalar alone.,CQ-F07,,
OBJECT_TYPE,ReviewDecision,governance,A governed decision over exact reviewed artifacts.,PROPOSED_V2,EXTENSION,Exact-hash human review remains an external governance owner; no review record is created in 5C.,CQ-J03,,
OBJECT_TYPE,DerivedRelation,compatibility,A graph projection derived from ports or reviewed rules.,PROPOSED_V2,MERGE,Projection metadata on derived links; no independent core scientific object.,CQ-E06,,
OBJECT_TYPE,MetricDefinition,evaluation,A definition of an evaluation metric.,PROPOSED_V2,EXTENSION,Metric definitions belong to an optional comparison module.,CQ-K01,,
OBJECT_TYPE,EvaluationDataset,evaluation,A versioned evaluation dataset and split definition.,PROPOSED_V2,EXTENSION,"Dataset revisions, split and leakage controls require the comparison module.",CQ-K01,,
OBJECT_TYPE,BenchmarkStudy,evaluation,A bounded comparison protocol.,PROPOSED_V2,EXTENSION,Comparison protocol and evaluated subjects are beyond minimal analysis core.,CQ-D06,,
OBJECT_TYPE,EmpiricalResult,evaluation,A scoped metric observation from a benchmark.,PROPOSED_V2,EXTENSION,"Numeric measured performance needs dataset, metric and protocol context.",CQ-D06,,
OBJECT_TYPE,SupersessionRecord,governance,A governed revision replacement assertion.,PROPOSED_V2,EXTENSION,Governed replacement decisions are external to core revision membership.,CQ-E07,,
OBJECT_TYPE,RepresentationInstanceBinding,compatibility,A binding between runtime data and scientific representation constraints.,PROPOSED_V2,MERGE,Runtime-owned binding reference; no scientific-owned duplicate of ledger state.,CQ-J06,,
OBJECT_TYPE,SourceWork,scKG-evidence,A stable intellectual or documentation work identity.,PROPOSED_V2,CORE_OBJECT_TYPE,Independent referent needed by the listed scientific use cases; lifecycle and relationships cannot be represented by a scalar alone.,CQ-G01,,
OBJECT_TYPE,SourceRevision,scKG-evidence,A versioned edition or release of a source work.,PROPOSED_V2,CORE_OBJECT_TYPE,Independent referent needed by the listed scientific use cases; lifecycle and relationships cannot be represented by a scalar alone.,CQ-F02,,
OBJECT_TYPE,SourceArtifact,scKG-evidence,A content-addressed acquired source file.,PROPOSED_V2,CORE_OBJECT_TYPE,Independent referent needed by the listed scientific use cases; lifecycle and relationships cannot be represented by a scalar alone.,CQ-G01,,
OBJECT_TYPE,RepresentationRecord,runtime-bridge,"External runtime-owned state of a concrete representation; this design declares a bridge reference, not a new runtime schema.",PROPOSED_V2,CORE_OBJECT_TYPE,Independent referent needed by the listed scientific use cases; lifecycle and relationships cannot be represented by a scalar alone.,CQ-I01;CQ-J06,,
OBJECT_TYPE,TraceSpan,runtime-observability,"Runtime audit event connecting inputs, outputs, decisions, and activities.",PROPOSED_V2,DEFERRED,Existing runtime trace schema remains external and unchanged.,CQ-I07,,
OBJECT_TYPE,ScientificStatement,scKG-statement,"Stable assertion identity and revision anchor only; not a document, paragraph or collection of claims.",PROPOSED_V2,CORE_OBJECT_TYPE,Independent referent needed by the listed scientific use cases; lifecycle and relationships cannot be represented by a scalar alone.,CQ-E01,,
OBJECT_TYPE,StatementRevision,scKG-statement,"Immutable, version-specific, independently judgeable proposition about typed entities or a typed property value, with polarity and explicit context.",PROPOSED_V2,CORE_OBJECT_TYPE,Independent referent needed by the listed scientific use cases; lifecycle and relationships cannot be represented by a scalar alone.,CQ-E01;CQ-E03,,
OBJECT_TYPE,IdentityAssertion,identity-governance,Reviewable claim that two identifiers have a typed identity relationship.,PROPOSED_V2,EXTENSION,"Reifies subject_resource/relation_type/object_resource and review; resources, not the assertion, are endpoints.",CQ-A03;CQ-B07,,
OBJECT_TYPE,ExtractionRun,provenance,Provenance activity that generates candidate records from sources.,PROPOSED_V2,DEFERRED,Future extraction activity contract; no extractor changes.,CQ-G02,,
OBJECT_TYPE,ReviewActivity,provenance,Provenance activity that generates ReviewDecisions.,PROPOSED_V2,DEFERRED,Activity/agent contracts await governance review.,CQ-G03,,
OBJECT_TYPE,EvidenceDriftAssessment,evidence-evolution,Assessment of evidence continuity across source revisions.,PROPOSED_V2,DEFERRED,Drift comparison inputs remain in core; monitoring and revalidation lifecycle are deferred.,CQ-H01;CQ-H05,,
OBJECT_TYPE,OntologyConceptRevision,ontology-evolution,"Versioned class, property, predicate, qualifier, or shape definition.",PROPOSED_V2,DEFERRED,Full ontology change framework is outside bounded core.,CQ-H07,,
OBJECT_TYPE,OntologyMigrationPlan,ontology-evolution,Governed plan for schema and data migration between ontology releases.,PROPOSED_V2,DEFERRED,Migration framework explicitly outside this checkpoint.,CQ-H07,,
OBJECT_TYPE,GovernedAction,action,"Typed action with permissions, preconditions, side effects, trace, and rollback semantics.",PROPOSED_V2,DEFERRED,"Permissions, effects and execution are not universal scientific facts.",CQ-I07,,
OBJECT_TYPE,ActionPolicy,action,Policy governing approval and execution eligibility for actions.,PROPOSED_V2,DEFERRED,Authorization remains owned by existing policy; no action ontology implementation.,CQ-I06,,
LINK_TYPE,implements_method,core-link,Release-bound operator implements a scientific method under the stated conditions.,PROPOSED_V2,CORE_LINK_TYPE,"Minimal link needed for the cited identity, scientific or evidence use case; not a scalar value.",CQ-A01,,
LINK_TYPE,implements_method_variant,core-link,Release-bound operator implements the specified scientifically meaningful variant.,PROPOSED_V2,CORE_LINK_TYPE,"Minimal link needed for the cited identity, scientific or evidence use case; not a scalar value.",CQ-B02,,
LINK_TYPE,belongs_to_package,core-link,Operator belongs to one distribution package.,PROPOSED_V2,CORE_LINK_TYPE,"Minimal link needed for the cited identity, scientific or evidence use case; not a scalar value.",CQ-B01,,
LINK_TYPE,belongs_to_project,core-link,Package belongs to one stable software project.,PROPOSED_V2,CORE_LINK_TYPE,"Minimal link needed for the cited identity, scientific or evidence use case; not a scalar value.",CQ-B01,,
LINK_TYPE,revision_of,core-link,"Revision belongs to exactly one same-family stable identity, never an arbitrary versioned resource.",PROPOSED_V2,CORE_LINK_TYPE,"Minimal link needed for the cited identity, scientific or evidence use case; not a scalar value.",CQ-A02;CQ-G01;CQ-E01,,
LINK_TYPE,consumes,core-link,"Derived input capability view through port, requirement and constraint; preserves strength, alternatives and conditions.",PROPOSED_V2,DERIVED_PROJECTION,"Minimal link needed for the cited identity, scientific or evidence use case; not a scalar value.",CQ-C01,,
LINK_TYPE,produces,core-link,Derived output capability view through an owned output port; preserves production_conditions.,PROPOSED_V2,DERIVED_PROJECTION,"Minimal link needed for the cited identity, scientific or evidence use case; not a scalar value.",CQ-C02,,
LINK_TYPE,derives_from,non-core-review,Use one future provenance relation; no duplicate internal lineage vocabulary.,PROPOSED_V2,MERGE,Use one future provenance relation; no duplicate internal lineage vocabulary.,CQ-C03;CQ-I01,,
LINK_TYPE,transforms,non-core-review,Display-only description may summarize transformations; decision-bearing effects require typed StatementRevision plus EvidenceAssessment. No general Effect ontology.,PROPOSED_V2,PROPERTY_OR_QUALIFIER,Display-only description may summarize transformations; decision-bearing effects require typed StatementRevision plus EvidenceAssessment. No general Effect ontology.,CQ-C04,,
LINK_TYPE,preserves,non-core-review,Describe implemented Method/MethodVariant and typed input/output semantics; no additional transformation verb is necessary in core.,PROPOSED_V2,PROPERTY_OR_QUALIFIER,Describe implemented Method/MethodVariant and typed input/output semantics; no additional transformation verb is necessary in core.,CQ-C04,,
LINK_TYPE,invalidates,non-core-review,"Runtime invalidation belongs to Ledger/Trace. Display-only effect_description cannot express decision-bearing scientific effects; those require a registered StatementRevision and EvidenceAssessment, otherwise defer.",PROPOSED_V2,DEFERRED,"Runtime invalidation belongs to Ledger/Trace. Display-only effect_description cannot express decision-bearing scientific effects; those require a registered StatementRevision and EvidenceAssessment, otherwise defer.",CQ-C05;CQ-I03,,
LINK_TYPE,modifies,non-core-review,Use Method.definition and MethodVariant defining_parameter_conditions together with implements_method and typed input/output ports; no extra transformation predicate.,PROPOSED_V2,PROPERTY_OR_QUALIFIER,Use Method.definition and MethodVariant defining_parameter_conditions together with implements_method and typed input/output ports; no extra transformation predicate.,CQ-C07,,
LINK_TYPE,filters,non-core-review,Use Method.definition and MethodVariant defining_parameter_conditions together with implements_method and typed input/output ports; no extra transformation predicate.,PROPOSED_V2,PROPERTY_OR_QUALIFIER,Use Method.definition and MethodVariant defining_parameter_conditions together with implements_method and typed input/output ports; no extra transformation predicate.,CQ-C04,,
LINK_TYPE,normalizes,non-core-review,Use Method.definition and MethodVariant defining_parameter_conditions together with implements_method and typed input/output ports; no extra transformation predicate.,PROPOSED_V2,PROPERTY_OR_QUALIFIER,Use Method.definition and MethodVariant defining_parameter_conditions together with implements_method and typed input/output ports; no extra transformation predicate.,CQ-C04,,
LINK_TYPE,integrates,non-core-review,Use Method.definition and MethodVariant defining_parameter_conditions together with implements_method and typed input/output ports; no extra transformation predicate.,PROPOSED_V2,PROPERTY_OR_QUALIFIER,Use Method.definition and MethodVariant defining_parameter_conditions together with implements_method and typed input/output ports; no extra transformation predicate.,CQ-C04,,
LINK_TYPE,aggregates,non-core-review,Use Method.definition and MethodVariant defining_parameter_conditions together with implements_method and typed input/output ports; no extra transformation predicate.,PROPOSED_V2,PROPERTY_OR_QUALIFIER,Use Method.definition and MethodVariant defining_parameter_conditions together with implements_method and typed input/output ports; no extra transformation predicate.,CQ-C04,,
LINK_TYPE,projects_to,non-core-review,Use Method.definition and MethodVariant defining_parameter_conditions together with implements_method and typed input/output ports; no extra transformation predicate.,PROPOSED_V2,PROPERTY_OR_QUALIFIER,Use Method.definition and MethodVariant defining_parameter_conditions together with implements_method and typed input/output ports; no extra transformation predicate.,CQ-C02,,
LINK_TYPE,requires_input,non-core-review,"Strength/condition belong to Requirement, referenced through typed entity/port links.",PROPOSED_V2,MERGE,"Strength/condition belong to Requirement, referenced through typed entity/port links.",CQ-D01,,
LINK_TYPE,requires_metadata,non-core-review,"Names required by a constraint are scalar metadata requirements, not undefined PropertyDefinition nodes.",PROPOSED_V2,PROPERTY_OR_QUALIFIER,"Names required by a constraint are scalar metadata requirements, not undefined PropertyDefinition nodes.",CQ-D02,,
LINK_TYPE,requires_reference,scKG-representation,Requirement refers to an immutable/version-pinned ReferenceArtifactRevision; this target link does not imply REQUIRED strength.,PROPOSED_V2,CORE_LINK_TYPE,N02: reuse the historical requires_reference relation with a precise Requirement domain instead of introducing a reference predicate family.,CQ-D03,,
LINK_TYPE,requires_assay_property,non-core-review,Use simple context or shared ApplicabilityScope.,PROPOSED_V2,PROPERTY_OR_QUALIFIER,Use simple context or shared ApplicabilityScope.,CQ-D04,,
LINK_TYPE,requires_study_design,non-core-review,Use simple context or shared ApplicabilityScope.,PROPOSED_V2,PROPERTY_OR_QUALIFIER,Use simple context or shared ApplicabilityScope.,CQ-D04,,
LINK_TYPE,applicable_to,core-link,Entity-level applicability under independently identified shared context; not a statement-as-entity shortcut.,PROPOSED_V2,CORE_LINK_TYPE,"Minimal link needed for the cited identity, scientific or evidence use case; not a scalar value.",CQ-D04,,
LINK_TYPE,validated_on,non-core-review,Requires assessment criteria and evaluation module; evaluated never implies validated.,PROPOSED_V2,EXTENSION,Requires assessment criteria and evaluation module; evaluated never implies validated.,CQ-D06;CQ-K05,,
LINK_TYPE,evaluated_under,non-core-review,Requires comparison protocol module.,PROPOSED_V2,EXTENSION,Requires comparison protocol module.,CQ-D06;CQ-K06,,
LINK_TYPE,incompatible_with,non-core-review,A negative requires_input assertion is not incompatibility; defer a precise incompatibility relation.,PROPOSED_V2,DEFERRED,A negative requires_input assertion is not incompatibility; defer a precise incompatibility relation.,CQ-D05,,
LINK_TYPE,contraindicated_for,non-core-review,DISCOURAGED strength can encode advice; stronger contraindication semantics await review.,PROPOSED_V2,DEFERRED,DISCOURAGED strength can encode advice; stronger contraindication semantics await review.,CQ-D05,,
LINK_TYPE,assumes,non-core-review,Higher-order statement dependencies need scope and identity semantics beyond core.,PROPOSED_V2,DEFERRED,Higher-order statement dependencies need scope and identity semantics beyond core.,CQ-E02,,
LINK_TYPE,has_limitation,non-core-review,Use limitation statement kind about the scientific entity; no statement-to-statement catch-all.,PROPOSED_V2,PROPERTY_OR_QUALIFIER,Use limitation statement kind about the scientific entity; no statement-to-statement catch-all.,CQ-E04,,
LINK_TYPE,has_recommendation,non-core-review,RECOMMENDED or DISCOURAGED requirement strength; no duplicate predicate family.,PROPOSED_V2,PROPERTY_OR_QUALIFIER,RECOMMENDED or DISCOURAGED requirement strength; no duplicate predicate family.,CQ-D01,,
LINK_TYPE,supports,non-core-review,DIRECT/PARTIAL/CONTEXTUAL support is a reified EvidenceAssessment value.,PROPOSED_V2,PROPERTY_OR_QUALIFIER,DIRECT/PARTIAL/CONTEXTUAL support is a reified EvidenceAssessment value.,CQ-F01;CQ-F03,,
LINK_TYPE,contradicts,non-core-review,Conflicting evidence is an independent assessment; not a generic statement-level contradiction link.,PROPOSED_V2,PROPERTY_OR_QUALIFIER,Conflicting evidence is an independent assessment; not a generic statement-level contradiction link.,CQ-E05;CQ-F03,,
LINK_TYPE,refutes,non-core-review,Refutation is assessed against the same proposition/scope.,PROPOSED_V2,PROPERTY_OR_QUALIFIER,Refutation is assessed against the same proposition/scope.,CQ-F03,,
LINK_TYPE,was_generated_by,non-core-review,External provenance binding only in core; activity modeling is deferred.,PROPOSED_V2,EXTENSION,External provenance binding only in core; activity modeling is deferred.,CQ-G02;CQ-G03,,
LINK_TYPE,generated,non-core-review,Inverse display can be derived in the optional provenance module; no duplicate authoritative fields.,PROPOSED_V2,MERGE,Inverse display can be derived in the optional provenance module; no duplicate authoritative fields.,CQ-G02,,
LINK_TYPE,used,non-core-review,General activity use awaits provenance module; EvidenceAssessment uses_evidence is specific.,PROPOSED_V2,EXTENSION,General activity use awaits provenance module; EvidenceAssessment uses_evidence is specific.,CQ-G04,,
LINK_TYPE,was_used_by,non-core-review,Inverse display only; avoid duplicate authoritative storage.,PROPOSED_V2,MERGE,Inverse display only; avoid duplicate authoritative storage.,CQ-G04,,
LINK_TYPE,was_derived_from,non-core-review,"Single selected future provenance relation; direct declared derivation, no transitive inference.",PROPOSED_V2,EXTENSION,"Single selected future provenance relation; direct declared derivation, no transitive inference.",CQ-G05,,
LINK_TYPE,was_associated_with,non-core-review,Agent/activity semantics are external and unavailable to core links.,PROPOSED_V2,EXTENSION,Agent/activity semantics are external and unavailable to core links.,CQ-G03,,
LINK_TYPE,supersedes,non-core-review,Governed revision replacement requires same family and stable identity; revision_of alone is not replacement.,PROPOSED_V2,EXTENSION,Governed revision replacement requires same family and stable identity; revision_of alone is not replacement.,CQ-E07;CQ-H06,,
LINK_TYPE,superseded_by,non-core-review,Inverse display of governed replacement.,PROPOSED_V2,MERGE,Inverse display of governed replacement.,CQ-H06,,
LINK_TYPE,alias_of,non-core-review,Reified identity assertion links two resources with namespace-aware identity review.,PROPOSED_V2,EXTENSION,Reified identity assertion links two resources with namespace-aware identity review.,CQ-A03,,
LINK_TYPE,deprecated_by,non-core-review,Deprecation is metadata; replacement is not guaranteed and is not necessarily functional.,PROPOSED_V2,DEFERRED,Deprecation is metadata; replacement is not guaranteed and is not necessarily functional.,CQ-B04,,
LINK_TYPE,fork_of,non-core-review,"Identity module: SoftwareProject to SoftwareProject, asymmetric/nontransitive and no biological qualifiers.",PROPOSED_V2,EXTENSION,"Identity module: SoftwareProject to SoftwareProject, asymmetric/nontransitive and no biological qualifiers.",CQ-A04,,
LINK_TYPE,equivalent_to,non-core-review,"Identity module uses resource endpoints of matching type and scope; symmetric only within that scope, not transitive identity merging.",PROPOSED_V2,EXTENSION,"Identity module uses resource endpoints of matching type and scope; symmetric only within that scope, not transitive identity merging.",CQ-B07,,
LINK_TYPE,replaced_by,non-core-review,Ontology migration concepts outside current core.,PROPOSED_V2,DEFERRED,Ontology migration concepts outside current core.,CQ-H07;CQ-K07,,
LINK_TYPE,bound_to_release,scKG-core,Operator scientific description is pinned to one package release whose package owns its Operator.,NEW_OR_RESTORED_FROM_V1,CORE_LINK_TYPE,"Minimal link needed for the cited identity, scientific or evidence use case; not a scalar value.",CQ-A02,,
LINK_TYPE,variant_of,scKG-core,Variant specializes one scientific Method.,NEW_OR_RESTORED_FROM_V1,CORE_LINK_TYPE,"Minimal link needed for the cited identity, scientific or evidence use case; not a scalar value.",CQ-B02,,
LINK_TYPE,supports_task,scKG-core,Entity addresses a bounded scientific analysis objective; does not mean executable or recommended.,NEW_OR_RESTORED_FROM_V1,CORE_LINK_TYPE,"Minimal link needed for the cited identity, scientific or evidence use case; not a scalar value.",CQ-B01,,
LINK_TYPE,has_parameter,scKG-core,Release-bound operator exposes this parameter definition; no default value is inferred.,NEW_OR_RESTORED_FROM_V1,CORE_LINK_TYPE,"Minimal link needed for the cited identity, scientific or evidence use case; not a scalar value.",CQ-B03,,
LINK_TYPE,has_input_port,scKG-core,Owns a typed scientific input role.,NEW_OR_RESTORED_FROM_V1,CORE_LINK_TYPE,"Minimal link needed for the cited identity, scientific or evidence use case; not a scalar value.",CQ-C01,,
LINK_TYPE,has_output_port,scKG-core,Owns a typed scientific output role.,NEW_OR_RESTORED_FROM_V1,CORE_LINK_TYPE,"Minimal link needed for the cited identity, scientific or evidence use case; not a scalar value.",CQ-C02,,
LINK_TYPE,has_requirement,scKG-core,Entity has the referenced Requirement; independent strength and activation are preserved without deriving strength from a verb.,NEW_OR_RESTORED_FROM_V1,CORE_LINK_TYPE,"Minimal link needed for the cited identity, scientific or evidence use case; not a scalar value.",CQ-D01,,
LINK_TYPE,requires_constraint,scKG-core,Requirement refers to a representation constraint target; strength/activation remain in Requirement. At least one constraint or reference target is required.,NEW_OR_RESTORED_FROM_V1,CORE_LINK_TYPE,"Minimal link needed for the cited identity, scientific or evidence use case; not a scalar value.",CQ-D01,,
LINK_TYPE,constrains_type,scKG-core,Constraint describes conditions on one scientific representation type.,NEW_OR_RESTORED_FROM_V1,CORE_LINK_TYPE,"Minimal link needed for the cited identity, scientific or evidence use case; not a scalar value.",CQ-D01,,
LINK_TYPE,output_type,scKG-core,"Output role declares one representation type, subject to its production_conditions.",NEW_OR_RESTORED_FROM_V1,CORE_LINK_TYPE,"Minimal link needed for the cited identity, scientific or evidence use case; not a scalar value.",CQ-C02,,
LINK_TYPE,artifact_of,scKG-evidence,Acquired immutable bytes represent one identified source revision.,NEW_OR_RESTORED_FROM_V1,CORE_LINK_TYPE,"Minimal link needed for the cited identity, scientific or evidence use case; not a scalar value.",CQ-G01,,
LINK_TYPE,span_in_revision,scKG-evidence,Exact excerpt refers to one source revision.,NEW_OR_RESTORED_FROM_V1,CORE_LINK_TYPE,"Minimal link needed for the cited identity, scientific or evidence use case; not a scalar value.",CQ-F02,,
LINK_TYPE,span_in_artifact,scKG-evidence,Exact excerpt resolves to one immutable artifact of the same source revision.,NEW_OR_RESTORED_FROM_V1,CORE_LINK_TYPE,"Minimal link needed for the cited identity, scientific or evidence use case; not a scalar value.",CQ-F01,,
LINK_TYPE,assesses_statement,scKG-evidence,Assessment evaluates one exact statement revision; support_type is a property.,NEW_OR_RESTORED_FROM_V1,CORE_LINK_TYPE,"Minimal link needed for the cited identity, scientific or evidence use case; not a scalar value.",CQ-F03,,
LINK_TYPE,uses_evidence,scKG-evidence,"Assessment uses one exact span; multiple spans require multiple assessments, preserving distinct judgments.",NEW_OR_RESTORED_FROM_V1,CORE_LINK_TYPE,"Minimal link needed for the cited identity, scientific or evidence use case; not a scalar value.",CQ-F01,,
LINK_TYPE,binds_to_type,runtime-bridge,External runtime record references one scientific type; neither copying universal facts nor promoting runtime state.,NEW_OR_RESTORED_FROM_V1,CORE_LINK_TYPE,"Minimal link needed for the cited identity, scientific or evidence use case; not a scalar value.",CQ-J06,,
PROPERTY,id,property-model,Nonempty stable record identifier; each object declares the actual repository identity field in source_mapping.,REVIEWED_SCALAR_OR_EMBEDDED_VALUE,PROPERTY,Scalar or embedded value without independent graph identity.,CQ-A01;CQ-A02;CQ-A05;CQ-B01;CQ-B02;CQ-B03;CQ-B05;CQ-B06;CQ-C01;CQ-C02;CQ-C03;CQ-D01;CQ-D04;CQ-E01;CQ-E03;CQ-F01;CQ-F02;CQ-F03;CQ-F04;CQ-F05;CQ-F07;CQ-G01;CQ-I01;CQ-J06,,
PROPERTY,schema_version,property-model,Version of the record shape.,REVIEWED_SCALAR_OR_EMBEDDED_VALUE,PROPERTY,Scalar or embedded value without independent graph identity.,CQ-A01;CQ-A02;CQ-A05;CQ-B01;CQ-B02;CQ-B03;CQ-B05;CQ-B06;CQ-C01;CQ-C02;CQ-C03;CQ-D01;CQ-D04;CQ-E01;CQ-E03;CQ-F01;CQ-F02;CQ-F03;CQ-F04;CQ-F05;CQ-F07;CQ-G01;CQ-I01;CQ-J06,,
PROPERTY,ontology_version,property-model,Core semantic release governing this design record.,REVIEWED_SCALAR_OR_EMBEDDED_VALUE,PROPERTY,Scalar or embedded value without independent graph identity.,CQ-A01;CQ-A02;CQ-A05;CQ-B01;CQ-B02;CQ-B03;CQ-B05;CQ-B06;CQ-C01;CQ-C02;CQ-C03;CQ-D01;CQ-D04;CQ-E01;CQ-E03;CQ-F01;CQ-F02;CQ-F03;CQ-F04;CQ-F05;CQ-F07;CQ-G01;CQ-I01;CQ-J06,,
PROPERTY,label,property-model,Human-readable name; not identity.,REVIEWED_SCALAR_OR_EMBEDDED_VALUE,PROPERTY,Scalar or embedded value without independent graph identity.,CQ-A01;CQ-A05;CQ-B01;CQ-B02;CQ-B03;CQ-B06;CQ-C01;CQ-C02,,
PROPERTY,definition,property-model,Bounded scientific meaning.,REVIEWED_SCALAR_OR_EMBEDDED_VALUE,PROPERTY,Scalar or embedded value without independent graph identity.,CQ-A01;CQ-B01;CQ-B02;CQ-B03;CQ-B06;CQ-C01;CQ-C02,,
PROPERTY,version,property-model,Declared revision/release version.,REVIEWED_SCALAR_OR_EMBEDDED_VALUE,PROPERTY,Scalar or embedded value without independent graph identity.,CQ-A02;CQ-F02,,
PROPERTY,api_path,property-model,Release-specific API locator; moving it does not alone change Operator identity.,REVIEWED_SCALAR_OR_EMBEDDED_VALUE,PROPERTY,Scalar or embedded value without independent graph identity.,CQ-A01;CQ-B05,,
