claim_id	subject_id	subject	predicate	object_id	object	claim_text	source_document_id	source_document	source_type	source_authority	authority_tier	source_span_id	exact_evidence_locator	source_local_wording	scope	modality	version	projected_kg_relation	derived_relation_ids	alias_version_ambiguity	alias_version_note	multi_entity_evidence	evidence_entities	possible_contradiction	contradiction_note	review_risk	review_risk_reasons	review_decision	reviewer_reason
atomic-claim:af3c4cf2b1db2d6c72cee649	method:neighbor_graph_construction	neighbor graph construction	key_parameter	parameter:neighbors_n_neighbors_n_pcs	neighbors_n_neighbors_n_pcs	The reported workflow used 30 neighbors and 30 principal components for graph construction.	SRCV2_2299659ba3176976	CellRank 2: unified fate mapping in multiview single-cell data	doi_landing_or_open_html	primary_or_peer_reviewed_source_document	source_material	sourcev2:60da5ea070cf59f85008	page:15;section:2 + (|G|−| D|)|D|,;paragraph:41	….highly_variable_genes. We based all further analyses on these highly variable genes and the marker genes identified by the study introducing the embryoid body development dataset 32. The neighbor graph was computed for 30 neighbors using 30 principal components (PCs). CytoTRACEKernel analysis. T o compute the CytoTRACE score18, we first imputed the normalized count matrix by first-order moments with scVelo’s scvelo.pp.moments function; the score itself was calculated with the compute_cytotrace method of the CytoTRACEKernel. We computed the transition matrix with the soft thresholding scheme (thresholding_scheme=‘s…	dataset_specific	scRNA-seq		KEY_PARAMETER		true	Generic method identity is supported here by a Scanpy workflow/API use and needs scope review before canonical projection.	true	HVG selection;PCA;neighbor graph;UMAP;Scanpy;CellRank;scVelo	true	Dataset-specific parameter must not be promoted as a universal default.	high	dataset_specific_scope;multi_entity_source_span;alias_or_version_scope;possible_scope_or_output_conflict		
atomic-claim:4d57badd70ac33a5cccc81aa	method:umap	UMAP	supports_task	task:embedding_visualization	embedding visualization	Scanpy UMAP computes a low-dimensional embedding for visualization.	SRCV2_2299659ba3176976	CellRank 2: unified fate mapping in multiview single-cell data	doi_landing_or_open_html	primary_or_peer_reviewed_source_document	source_material	sourcev2:60da5ea070cf59f85008	page:15;section:2 + (|G|−| D|)|D|,;paragraph:41	…s in Python, relying on the standard single-cell biology tools Scanpy84 and AnnData85; we specify other relevant pack- ages where applicable. For Scanpy-based workflows84, we computed PCA embeddings, neighbor graphs and UMAP embeddings86 with the scanpy.tl.pca, scanpy.pp.neighbors and scanpy.tl.umap functions, respectively. For analyses based on CellRank 2 kernels, the kernel method com- pute_transition_matrix computed transition probabilities, and the ker- nel method cbc the CBC score. We used the GPCCA estimator functions to compute macrostates (compute_macrostates)20 and the TSI score (tsi), define terminal states (set_terminal_states), compute fate…	reported_workflow	scRNA-seq		SUPPORTS_TASK		true	Generic method identity is supported here by a Scanpy workflow/API use and needs scope review before canonical projection.	true	HVG selection;PCA;neighbor graph;UMAP;Scanpy;CellRank;scVelo	false		medium	reported_workflow_not_universal;multi_entity_source_span;alias_or_version_scope		
atomic-claim:a2e288f28a37f855e91a45a6	method:umap	UMAP	consumes	representation:neighbor_graph	neighbor_graph	In the reported workflow, a corrected KNN graph is used for UMAP dimensionality reduction.	SRCV2_2899fbdab02dd07e	Cell2location maps fine-grained cell types in spatial transcriptomics	doi_landing_or_open_html	primary_or_peer_reviewed_source_document	source_material	sourcev2:2ce33a19b8410c63f5a8	page:14;section:1. Selecting genes detected at mRNA count >0 in >5% of cells;paragraph:49	…as strongly associated with total mRNA count per cell, was removed. Next, BBKNN 33 was used to refine the integration across all six snRNA-seq datasets with the default parameters, except neighbors_within_batch = 3. The corrected KNN graph was used to perform UMAP dimensionality reduction and Leiden clustering with resolution 2.4, identifying 17 astrocyte subclusters (Supplementary Fig. 13). Marker genes of these subtypes were identified using differential expression tools in the scanpy package and markers known from the literature. Next, an initial mapping with cell2location was performed using hyper-parameters described below in the mouse…	reported_workflow	scRNA-seq		CONSUMES	claim-relation:fb3520459d873d40863ce022	true	Generic method identity is supported here by a Scanpy workflow/API use and needs scope review before canonical projection.	true	PCA;neighbor graph;UMAP;Leiden;Scanpy;Seurat;BBKNN	false		medium	reported_workflow_not_universal;multi_entity_source_span;alias_or_version_scope		
atomic-claim:5d8a1c0c0a32387ad7557abb	method:umap	UMAP	produces	representation:umap_embedding	umap_embedding	Scanpy UMAP produces a UMAP embedding.	SRCV2_2299659ba3176976	CellRank 2: unified fate mapping in multiview single-cell data	doi_landing_or_open_html	primary_or_peer_reviewed_source_document	source_material	sourcev2:60da5ea070cf59f85008	page:15;section:2 + (|G|−| D|)|D|,;paragraph:41	…s in Python, relying on the standard single-cell biology tools Scanpy84 and AnnData85; we specify other relevant pack- ages where applicable. For Scanpy-based workflows84, we computed PCA embeddings, neighbor graphs and UMAP embeddings86 with the scanpy.tl.pca, scanpy.pp.neighbors and scanpy.tl.umap functions, respectively. For analyses based on CellRank 2 kernels, the kernel method com- pute_transition_matrix computed transition probabilities, and the ker- nel method cbc the CBC score. We used the GPCCA estimator functions to compute macrostates (compute_macrostates)20 and the TSI score (tsi), define terminal states (set_terminal_states), compute fate…	reported_workflow	scRNA-seq		PRODUCES		true	Generic method identity is supported here by a Scanpy workflow/API use and needs scope review before canonical projection.	true	HVG selection;PCA;neighbor graph;UMAP;Scanpy;CellRank;scVelo	false		medium	reported_workflow_not_universal;multi_entity_source_span;alias_or_version_scope		
atomic-claim:1faedfef2b385dcf8ccf4b77	method:leiden	Leiden	supports_task	task:graph_clustering	graph clustering	Leiden clustering identifies graph-based cell clusters.	SRCV2_2899fbdab02dd07e	Cell2location maps fine-grained cell types in spatial transcriptomics	doi_landing_or_open_html	primary_or_peer_reviewed_source_document	source_material	sourcev2:2ce33a19b8410c63f5a8	page:14;section:1. Selecting genes detected at mRNA count >0 in >5% of cells;paragraph:49	…BBKNN 33 was used to refine the integration across all six snRNA-seq datasets with the default parameters, except neighbors_within_batch = 3. The corrected KNN graph was used to perform UMAP dimensionality reduction and Leiden clustering with resolution 2.4, identifying 17 astrocyte subclusters (Supplementary Fig. 13). Marker genes of these subtypes were identified using differential expression tools in the scanpy package and markers known from the literature. Next, an initial mapping with cell2location was performed using hyper-parameters described below in the mouse brain Visium section. Reference cell type signatures for initial mapping include…	reported_workflow	scRNA-seq		SUPPORTS_TASK		true	Generic method identity is supported here by a Scanpy workflow/API use and needs scope review before canonical projection.	true	PCA;neighbor graph;UMAP;Leiden;Scanpy;Seurat;BBKNN	false		medium	reported_workflow_not_universal;multi_entity_source_span;alias_or_version_scope		
atomic-claim:c32953393ad75474e150cfdd	method:leiden	Leiden	consumes	representation:neighbor_graph	neighbor_graph	The reported Leiden analysis consumes a corrected KNN graph.	SRCV2_2899fbdab02dd07e	Cell2location maps fine-grained cell types in spatial transcriptomics	doi_landing_or_open_html	primary_or_peer_reviewed_source_document	source_material	sourcev2:2ce33a19b8410c63f5a8	page:14;section:1. Selecting genes detected at mRNA count >0 in >5% of cells;paragraph:49	…as strongly associated with total mRNA count per cell, was removed. Next, BBKNN 33 was used to refine the integration across all six snRNA-seq datasets with the default parameters, except neighbors_within_batch = 3. The corrected KNN graph was used to perform UMAP dimensionality reduction and Leiden clustering with resolution 2.4, identifying 17 astrocyte subclusters (Supplementary Fig. 13). Marker genes of these subtypes were identified using differential expression tools in the scanpy package and markers known from the literature. Next, an initial mapping with cell2location was performed using hyper-parameters described below in the mouse brain Visium section.…	reported_workflow	scRNA-seq		CONSUMES	claim-relation:8269a3ae3d39ee61104edd99	true	Generic method identity is supported here by a Scanpy workflow/API use and needs scope review before canonical projection.	true	PCA;neighbor graph;UMAP;Leiden;Scanpy;Seurat;BBKNN	false		medium	reported_workflow_not_universal;multi_entity_source_span;alias_or_version_scope		
atomic-claim:fb338159201999bdaa0546b7	method:leiden	Leiden	produces	representation:cluster_labels	cluster_labels	The reported Leiden analysis produced 17 astrocyte subclusters.	SRCV2_2899fbdab02dd07e	Cell2location maps fine-grained cell types in spatial transcriptomics	doi_landing_or_open_html	primary_or_peer_reviewed_source_document	source_material	sourcev2:2ce33a19b8410c63f5a8	page:14;section:1. Selecting genes detected at mRNA count >0 in >5% of cells;paragraph:49	…BBKNN 33 was used to refine the integration across all six snRNA-seq datasets with the default parameters, except neighbors_within_batch = 3. The corrected KNN graph was used to perform UMAP dimensionality reduction and Leiden clustering with resolution 2.4, identifying 17 astrocyte subclusters (Supplementary Fig. 13). Marker genes of these subtypes were identified using differential expression tools in the scanpy package and markers known from the literature. Next, an initial mapping with cell2location was performed using hyper-parameters described below in the mouse brain Visium section. Reference cell type signatures for initial mapping include…	dataset_specific	scRNA-seq		PRODUCES		true	Generic method identity is supported here by a Scanpy workflow/API use and needs scope review before canonical projection.	true	PCA;neighbor graph;UMAP;Leiden;Scanpy;Seurat;BBKNN	true	Dataset-specific parameter must not be promoted as a universal default.	high	dataset_specific_scope;multi_entity_source_span;alias_or_version_scope;possible_scope_or_output_conflict		
atomic-claim:34cf451d689595561d600bad	method:leiden	Leiden	key_parameter	parameter:leiden_resolution	leiden_resolution	The reported Leiden analysis used resolution 2.4.	SRCV2_2899fbdab02dd07e	Cell2location maps fine-grained cell types in spatial transcriptomics	doi_landing_or_open_html	primary_or_peer_reviewed_source_document	source_material	sourcev2:2ce33a19b8410c63f5a8	page:14;section:1. Selecting genes detected at mRNA count >0 in >5% of cells;paragraph:49	…BBKNN 33 was used to refine the integration across all six snRNA-seq datasets with the default parameters, except neighbors_within_batch = 3. The corrected KNN graph was used to perform UMAP dimensionality reduction and Leiden clustering with resolution 2.4, identifying 17 astrocyte subclusters (Supplementary Fig. 13). Marker genes of these subtypes were identified using differential expression tools in the scanpy package and markers known from the literature. Next, an initial mapping with cell2location was performed using hyper-parameters described below in the mouse brain Visium section. Reference cell type…	dataset_specific	scRNA-seq		KEY_PARAMETER		true	Generic method identity is supported here by a Scanpy workflow/API use and needs scope review before canonical projection.	true	PCA;neighbor graph;UMAP;Leiden;Scanpy;Seurat;BBKNN	true	Dataset-specific parameter must not be promoted as a universal default.	high	dataset_specific_scope;multi_entity_source_span;alias_or_version_scope;possible_scope_or_output_conflict		
atomic-claim:6a0061e7494165b06221a8c2	tool:harmony	Harmony	supports_task	task:batch_integration	batch integration	Harmony integrates single-cell datasets by correcting embeddings across covariates.	SRCV2_41478613cbd9d76f	Harmony official GitHub README	github_readme	official_project_documentation	source_material	sourcev2:39b8f557e5782a49ee55	section:Standalone Mode;paragraph:12-23	"At minimum the following parameters need to be specified to achieve an integration. For a few samples < 100K cells integration should finish within seconds. ```r library(harmony) my_harmony_embeddings <- RunHarmony(my_pca_embeddings, meta_data, ""dataset"") ``` By default, the harmony API works on Seurats PCA cell embeddings and corrects them. You can run Harmony within your Seurat workflow with `RunHarmony()`. Prior `RunHarmony()` the PCA cell embeddings need to be precomputed through Seurat's API. For downstream analyses, use the `harmony` embeddings instead of `pca`. For example, the following snippet run Harmony and then calculates UMAP of the corrected input embeddings: ```r seuratObj <- Ru…"	documented_api	scRNA-seq		SUPPORTS_TASK		false		true	PCA;UMAP;Harmony;Seurat	false		medium	multi_entity_source_span		
atomic-claim:4190fad0606564f71280ddc8	tool:harmony	Harmony	consumes	representation:pca_embedding	pca_embedding	Harmony consumes precomputed PCA cell embeddings.	SRCV2_41478613cbd9d76f	Harmony official GitHub README	github_readme	official_project_documentation	source_material	sourcev2:39b8f557e5782a49ee55	section:Standalone Mode;paragraph:12-23	"…or a few samples < 100K cells integration should finish within seconds. ```r library(harmony) my_harmony_embeddings <- RunHarmony(my_pca_embeddings, meta_data, ""dataset"") ``` By default, the harmony API works on Seurats PCA cell embeddings and corrects them. You can run Harmony within your Seurat workflow with `RunHarmony()`. Prior `RunHarmony()` the PCA cell embeddings need to be precomputed through Seurat's API. For downstream analyses, use the `harmony` embeddings instead of `pca`. For example, the following snippet run Harmony and then calculates UMAP of the corrected input embeddings: ```r seuratObj <- RunHarmony(seuratObj, ""dataset"") seuratObj <- RunUMAP(seuratObj, reduction = ""harmony"") ``` For a more detailed overview of the `RunHarmony(…"	documented_api	scRNA-seq		CONSUMES	claim-relation:88a71936846cb7a0f6d5fa48	false		true	PCA;UMAP;Harmony;Seurat	false		medium	multi_entity_source_span		
atomic-claim:6c2eb53868c9f55ec8f49d81	tool:harmony	Harmony	requires_representation	representation:batch_covariates	batch_covariates	Harmony requires cell-level covariate labels such as dataset, donor or batch identifiers for integration.	SRCV2_41478613cbd9d76f	Harmony official GitHub README	github_readme	official_project_documentation	source_material	sourcev2:39b8f557e5782a49ee55	section:Standalone Mode;paragraph:12-23	"…following parameters need to be specified to achieve an integration. For a few samples < 100K cells integration should finish within seconds. ```r library(harmony) my_harmony_embeddings <- RunHarmony(my_pca_embeddings, meta_data, ""dataset"") ``` By default, the harmony API works on Seurats PCA cell embeddings and corrects them. You can run Harmony within your Seurat workflow with `RunHarmony()`. Prior `RunHarmony()` the PCA cell embeddings need to be precomputed through Seurat's API. For downstream analyses, use the `harmony` embeddings instead of `pca`. For example, the following snippet run Harmony and then calculates UMAP of the corrected input embeddings: ```r seuratObj <- RunHarmony(seuratObj, ""dataset"") seuratObj <- RunUMAP(seuratObj, reduction = ""harmony"") ``` For a more detailed overview of the `RunHarmony()` Seurat interface check, the [Seurat vignette](https://korsunskylab.github.io/harmony2/articles/Seurat.html) Harmony can integrate over multiple covariates. To do this, specify a vector covariates to integrate. ```r my_harmony_embeddings <- RunHarmony( my_pca_embeddings, meta_data, c(""dataset"", ""donor"", ""batch_id"") ) ``` ```r seuratObject <- RunHarmony(seuratObject, c(""…"	documented_api	scRNA-seq		REQUIRES_REPRESENTATION		false		true	PCA;UMAP;Harmony;Seurat	false		medium	multi_entity_source_span		
atomic-claim:7028c77301fc58af93e12a82	tool:harmony	Harmony	produces	representation:integrated_pca_embedding	integrated_pca_embedding	Harmony produces integrated PCA embeddings for downstream analysis.	SRCV2_41478613cbd9d76f	Harmony official GitHub README	github_readme	official_project_documentation	source_material	sourcev2:39b8f557e5782a49ee55	section:Standalone Mode;paragraph:12-23	"…```r my_harmony_embeddings <- RunHarmony( my_pca_embeddings, meta_data, c(""dataset"", ""donor"", ""batch_id"") ) ``` ```r seuratObject <- RunHarmony(seuratObject, c(""dataset"", ""donor"", ""batch_id"")) ``` The examples above all return integrated PCA embeddings. We created a [detailed walkthrough](https://korsunskylab.github.io/harmony2/articles/detailedWalkthrough.html) that explores the internal data structures and mechanics of the Harmony algorithm. 1. OpenBLAS will make a substantial performance difference. If you are not using OpenBLAS have a look at the PERFORMANCE.md. 2. For very large datasets (>10M cells)…"	documented_api	scRNA-seq		PRODUCES		false		true	PCA;UMAP;Harmony;Seurat	false		medium	multi_entity_source_span		
