entity	subject_id	predicate	claim_count	evidence_sources	review_risk	risk_reasons
Leiden	method:leiden	supports_task	1	SRCV2_2899fbdab02dd07e|Cell2location maps fine-grained cell types in spatial transcriptomics	medium	alias_or_version_scope;multi_entity_source_span;reported_workflow_not_universal
PCA	method:pca	consumes	1	SRCV2_2899fbdab02dd07e|Cell2location maps fine-grained cell types in spatial transcriptomics	medium	alias_or_version_scope;multi_entity_source_span;reported_workflow_not_universal
PCA	method:pca	key_parameter	1	SRCV2_2899fbdab02dd07e|Cell2location maps fine-grained cell types in spatial transcriptomics	high	alias_or_version_scope;dataset_specific_scope;multi_entity_source_span;possible_scope_or_output_conflict
PCA	method:pca	produces	1	SRCV2_2299659ba3176976|CellRank 2: unified fate mapping in multiview single-cell data	medium	alias_or_version_scope;multi_entity_source_span;reported_workflow_not_universal
PCA	method:pca	supports_task	1	SRCV2_2299659ba3176976|CellRank 2: unified fate mapping in multiview single-cell data	medium	alias_or_version_scope;multi_entity_source_span;reported_workflow_not_universal
Scanorama	tool:scanorama	consumes	1	SRCV2_daf1d29894245278|Scanorama official GitHub README	medium	multi_entity_source_span
Scanorama	tool:scanorama	key_parameter	1	SRCV2_daf1d29894245278|Scanorama official GitHub README	low	direct_source_bound_documented_api_claim
Scanorama	tool:scanorama	limitation	1	SRCV2_daf1d29894245278|Scanorama official GitHub README	medium	conditional_limitation_boundary
Scanorama	tool:scanorama	produces	2	SRCV2_daf1d29894245278|Scanorama official GitHub README	high	multi_entity_source_span;possible_scope_or_output_conflict
Scanorama	tool:scanorama	supports_task	1	SRCV2_daf1d29894245278|Scanorama official GitHub README	medium	multi_entity_source_span
Scrublet	tool:scrublet	key_parameter	1	SRCV2_b7109f89611a4334|Scrublet official GitHub README	medium	multi_entity_source_span
Scrublet	tool:scrublet	limitation	1	SRCV2_b7109f89611a4334|Scrublet official GitHub README	medium	conditional_limitation_boundary;multi_entity_source_span
Scrublet	tool:scrublet	produces	2	SRCV2_b7109f89611a4334|Scrublet official GitHub README	medium	multi_entity_source_span
Scrublet	tool:scrublet	requires_representation	1	SRCV2_b7109f89611a4334|Scrublet official GitHub README	medium	multi_entity_source_span
Scrublet	tool:scrublet	supports_task	1	SRCV2_b7109f89611a4334|Scrublet official GitHub README	medium	multi_entity_source_span
SingleR	tool:singler	consumes	1	SRCV2_a9c5e690432dea7e|Reference-based analysis of lung single-cell sequencing reveals a transitional profibrotic macrophage	medium	alias_or_version_scope;multi_entity_source_span;reported_workflow_not_universal
SingleR	tool:singler	key_parameter	1	SRCV2_a9c5e690432dea7e|Reference-based analysis of lung single-cell sequencing reveals a transitional profibrotic macrophage	medium	alias_or_version_scope;multi_entity_source_span;reported_workflow_not_universal
SingleR	tool:singler	limitation	1	SRCV2_9f4160badc0127d0|SingleR official GitHub README	medium	alias_or_version_scope;conditional_limitation_boundary
SingleR	tool:singler	produces	1	SRCV2_a9c5e690432dea7e|Reference-based analysis of lung single-cell sequencing reveals a transitional profibrotic macrophage	medium	alias_or_version_scope;multi_entity_source_span;reported_workflow_not_universal
SingleR	tool:singler	requires_representation	1	SRCV2_a9c5e690432dea7e|Reference-based analysis of lung single-cell sequencing reveals a transitional profibrotic macrophage	medium	alias_or_version_scope;multi_entity_source_span;reported_workflow_not_universal
SingleR	tool:singler	supports_task	1	SRCV2_a9c5e690432dea7e|Reference-based analysis of lung single-cell sequencing reveals a transitional profibrotic macrophage	medium	alias_or_version_scope
UMAP	method:umap	consumes	1	SRCV2_2899fbdab02dd07e|Cell2location maps fine-grained cell types in spatial transcriptomics	medium	alias_or_version_scope;multi_entity_source_span;reported_workflow_not_universal
UMAP	method:umap	produces	1	SRCV2_2299659ba3176976|CellRank 2: unified fate mapping in multiview single-cell data	medium	alias_or_version_scope;multi_entity_source_span;reported_workflow_not_universal
UMAP	method:umap	supports_task	1	SRCV2_2299659ba3176976|CellRank 2: unified fate mapping in multiview single-cell data	medium	alias_or_version_scope;multi_entity_source_span;reported_workflow_not_universal
neighbor graph construction	method:neighbor_graph_construction	consumes	1	SRCV2_2299659ba3176976|CellRank 2: unified fate mapping in multiview single-cell data	medium	alias_or_version_scope;multi_entity_source_span;reported_workflow_not_universal
neighbor graph construction	method:neighbor_graph_construction	key_parameter	1	SRCV2_2299659ba3176976|CellRank 2: unified fate mapping in multiview single-cell data	high	alias_or_version_scope;dataset_specific_scope;multi_entity_source_span;possible_scope_or_output_conflict
neighbor graph construction	method:neighbor_graph_construction	produces	1	SRCV2_2299659ba3176976|CellRank 2: unified fate mapping in multiview single-cell data	medium	alias_or_version_scope;multi_entity_source_span;reported_workflow_not_universal
neighbor graph construction	method:neighbor_graph_construction	supports_task	1	SRCV2_2299659ba3176976|CellRank 2: unified fate mapping in multiview single-cell data	medium	alias_or_version_scope;multi_entity_source_span;reported_workflow_not_universal
